ethereum_address,contributor_id,impact_percentage
0x0000000000000000000000000000000000000000,1,58.075221238938056
0x754a9162678eaae9b8949eebd85ed1936b5abce3,2,4.314159292035399
0x0000000000000000000000000000000000000000,3,0.0
0x0000000000000000000000000000000000000000,5,0.0
0x0000000000000000000000000000000000000000,6,0.0
0x0000000000000000000000000000000000000000,7,0.0
0x0000000000000000000000000000000000000000,8,0.0
0xec35e628dbf08ae096addb187a485e01d39e7560,9,0.22123893805309736
0x0000000000000000000000000000000000000000,10,0.0
0x0000000000000000000000000000000000000000,11,0.0
0x0fa31ed0fa8e2d2a958b5b5d3c9e9b565abe3e93,12,0.0
0x2fab1fa377cb2631f0bb002fbcd0178819cd33ac,13,0.0
0x0000000000000000000000000000000000000000,14,0.11061946902654868
0x720a4007fd5f34ce15cbe2c1021a846e848ff122,15,0.0
0xd534905ba9e52f7b945c5c14e68ac3e823aa30ba,16,0.0
0x0000000000000000000000000000000000000000,17,0.0
0x0000000000000000000000000000000000000000,18,0.0
0x8f926b0dbe4fcc8678eb3f25e53d1a87fcc7c104,19,0.0
0x28bab36faf041f5b66b0bc5849e7269a752d1747,20,0.0
0x08379a244ab375c32033578b78a1512fb25a5062,21,0.0
0x7275dc2a973a98cefc7bad3227edd98a0432bdae,22,0.0
0x0000000000000000000000000000000000000000,23,2.2123893805309733
0x626ae4a918baf6e26f3b3e6b7cf97eec404ffc8b,24,0.0
0x0000000000000000000000000000000000000000,25,0.0
0xc35fc3319e9ca191cec422a426b0dcc20abc984a,26,0.0
0xfbf1de2c211960a95ca254e5af5d80c8fe29aaf0,27,0.0
0x0000000000000000000000000000000000000000,28,0.0
0x0000000000000000000000000000000000000000,29,0.0
0x361dd9c707325d40abfb3ec72518585fd7b76199,30,0.0
0x0000000000000000000000000000000000000000,31,0.0
0x0000000000000000000000000000000000000000,32,0.0
0xda0bc9ecd14d0346ee41085edbc46a950bebd73d,33,2.6548672566371683
0x520176597aedf15a05445ad87a477325685544f8,34,0.0
0x0000000000000000000000000000000000000000,35,0.0
0x67b2b26b1186a41e422c490b62c6a3a17cc13779,36,0.0
0x37fcb9a179247bcea473ac27404a6e50e22ebed9,37,2.9867256637168142
0x95ba792b6eeb140625625083fa045e766c78173b,38,6.3053097345132745
0x9f954bcd8bc1b114dfa0296a68a4744603c8e649,39,0.995575221238938
0x0000000000000000000000000000000000000000,40,0.0
0x8f866f04efdf1f1427625bffb0fa8677b08ee04d,41,20.6858407079646
0xad97fab3787527b7d280dedb1f5053106e2d5500,42,0.0
0xd9b290431c259d0cb3e3ea55c477ea3d62f8e6fd,43,0.22123893805309736
0x0000000000000000000000000000000000000000,44,0.0
0x0000000000000000000000000000000000000000,45,0.0
0x0000000000000000000000000000000000000000,46,0.0
0x0000000000000000000000000000000000000000,47,0.0
0x0000000000000000000000000000000000000000,48,0.0
0x07a721260416e764618b059811eaf099a940af14,49,0.0
0x0000000000000000000000000000000000000000,50,0.0
0x0000000000000000000000000000000000000000,51,0.0
0x0000000000000000000000000000000000000000,52,0.0
0x0000000000000000000000000000000000000000,53,0.0
0x0000000000000000000000000000000000000000,54,0.0
0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,55,0.0
0xece7c7a2524fd3c08a351134f101794dbfc96b0d,56,0.0
0x8e6122437026cb35066f19449f4c1003a34b28df,57,0.0
0x7cba4b76fe2d68816bef9ba64f1f2d10907834ca,58,0.11061946902654868
0x860b68c636c8cdff2617ec62611372cff57d60bc,59,0.0
0x59f1202ee4a967183598ad45c23459107d5accd6,60,0.0
0xbbfa66d9f0e6c8a75793b9b9ff094b2fc753e20c,61,0.0
0x74f8423e4935c2d988be41306d874f8bd5080403,62,0.22123893805309736
0x0000000000000000000000000000000000000000,63,0.0
0x0000000000000000000000000000000000000000,64,0.0
0x3ca0882a262cf7d5b38b31697371b7f4480a9385,65,0.22123893805309736
0xaef4842a2c6f44ed2d8c4bff94451126d79a065e,66,0.0
0x0000000000000000000000000000000000000000,67,0.0
0x69b18e301ce3eea9be5296f941f6d6c7600c1698,68,0.0
0x272ac3aab962c84c3073b47a85b6d5c5ff6fab99,69,0.0
0x0000000000000000000000000000000000000000,79,0.0
0x0000000000000000000000000000000000000000,70,0.0
0x29a3905c0606dfa2add4139d681b191d942020c8,71,0.0
0x0000000000000000000000000000000000000000,72,0.0
0x0000000000000000000000000000000000000000,73,0.0
0x0000000000000000000000000000000000000000,74,0.0
0x0000000000000000000000000000000000000000,75,0.0
0x0000000000000000000000000000000000000000,76,0.0
0xb0dea5cef77956cf3cb6d3bbdb6af244b357d9f9,77,0.22123893805309736
0x0000000000000000000000000000000000000000,78,0.0
0x0000000000000000000000000000000000000000,80,0.0
0x20d5307af7eefd5398e798c71e3da6e442136be9,81,0.0
0xbbb833115a3498c45bffc9e59e3b59a5995c2ca8,82,0.0
0x0000000000000000000000000000000000000000,83,0.0
0x0000000000000000000000000000000000000000,84,0.0
0x0000000000000000000000000000000000000000,85,0.0
0xa6d4fef3c1337cae47469b1b1a7068ec8688e819,86,0.4424778761061947
0x513dcee2929a6e0cd115fb65ec926d6569d98aff,87,0.0
0xfcf315d7ca229733acbcafcad2b7c96cd5c51da7,88,0.0
