id,timestamp,android_id,package_name,storybook_id,storybook_title,learning_event_type
1,1603248652000,0e46***c9b1,ai.elimu.vitabu,65,Abcd a nature alphabet book,STORYBOOK_OPENED
7,1603247840000,0e46***c9b1,ai.elimu.vitabu,61,Lara the Yellow Ladybird,STORYBOOK_OPENED
9,1603247780000,0e46***c9b1,ai.elimu.vitabu,62,Today I Am,STORYBOOK_OPENED
12,1603247496000,0e46***c9b1,ai.elimu.vitabu,65,Abcd a nature alphabet book,STORYBOOK_OPENED
13,1603247409000,0e46***c9b1,ai.elimu.vitabu,66,Bounthy's Singing Birds,STORYBOOK_OPENED
15,1603249453000,0e46***c9b1,ai.elimu.vitabu,65,Abcd a nature alphabet book,STORYBOOK_OPENED
16,1603249434000,0e46***c9b1,ai.elimu.vitabu,62,Today I Am,STORYBOOK_OPENED
17,1603973895000,0e46***c9b1,ai.elimu.vitabu,67,Which Way is South?,STORYBOOK_OPENED
18,1606706086000,f3b1***8ae8,ai.elimu.vitabu,61,Lara the Yellow Ladybird,STORYBOOK_OPENED
19,1606706072000,f3b1***8ae8,ai.elimu.vitabu,61,Lara the Yellow Ladybird,STORYBOOK_OPENED
20,1606706069000,f3b1***8ae8,ai.elimu.vitabu,62,Today I Am,STORYBOOK_OPENED
21,1606706033000,f3b1***8ae8,ai.elimu.vitabu,66,Bounthy's Singing Birds,STORYBOOK_OPENED
22,1606706027000,f3b1***8ae8,ai.elimu.vitabu,65,Abcd a nature alphabet book,STORYBOOK_OPENED
23,1624886266000,f3b1***8ae8,ai.elimu.vitabu,65,Abcd a nature alphabet book,STORYBOOK_OPENED
24,1642790908000,f3b1***8ae8,ai.elimu.vitabu,68,The Village of Five Poles,STORYBOOK_OPENED
