id,timestamp,android_id,package_name,video_id,video_title,learning_event_type,additional_data
122322,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
122324,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
122326,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
122328,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
122330,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
122332,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
122334,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
122336,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
122338,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
122340,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
123258,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
123260,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
123262,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
123264,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
123266,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
123268,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
123270,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
123272,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
123274,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
123276,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
123825,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
123827,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
123829,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
123831,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
123833,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
123835,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
123837,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
123839,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
123841,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
123843,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
124392,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
124394,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
124396,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
124398,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
124400,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
124402,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
124404,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
124406,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
124408,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
124410,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
124941,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
124943,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
124945,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
124947,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
124949,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
124951,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
124953,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
124955,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
124957,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
124959,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
125508,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
125510,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
125512,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
125514,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
125516,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
125518,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
125520,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
125522,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
125524,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
125526,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
126075,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
126077,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
126079,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
126081,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
126083,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
126085,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
126087,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
126089,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
126091,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
126093,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
126642,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
126644,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
126646,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
126648,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
126650,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
126652,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
126654,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
126656,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
126658,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
126660,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
127209,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
127211,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
127213,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
127215,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
127217,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
127219,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
127221,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
127223,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
127225,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
127227,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
127776,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
127778,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
127780,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
127782,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
127784,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
127786,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
127788,1728500709000,e387***0002,ai.elimu.analytics,7,akili and me - letter g,VIDEO_OPENED,
127790,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
127792,1728500709000,e387***0002,ai.elimu.analytics,8,akili and me - family,VIDEO_OPENED,
127794,1728500709000,e387***0002,ai.elimu.analytics,34,akili and me - letter j,VIDEO_OPENED,
128343,1728500709000,e387***0002,ai.elimu.analytics,14,akili and me - counting compilation,VIDEO_OPENED,
128345,1728500709000,e387***0002,ai.elimu.analytics,2,akili and me - letter b,VIDEO_OPENED,
128347,1728500709000,e387***0002,ai.elimu.analytics,33,akili and me - letter i,VIDEO_OPENED,
128349,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
128351,1728500709000,e387***0002,ai.elimu.analytics,9,akili and me - jump jump jump,VIDEO_OPENED,
128353,1728500709000,e387***0002,ai.elimu.analytics,10,akili and me - music,VIDEO_OPENED,
