id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
4,[1],"[""া""]",[1],"[""ɐ""]",140
12,[2],"[""ে""]",[7],"[""e""]",87
7,[9],"[""ম""]",[4],"[""m""]",81
2,[3],"[""র""]",[46],"[""ɾ""]",78
10,[4],"[""ি""]",[6],"[""iː""]",67
3,[8],"[""ত""]",[5],"[""t""]",53
6,[12],"[""স""]",[8],"[""ʃ""]",53
11,[20],"[""আ""]",[1],"[""ɐ""]",47
13,[14],"[""ো""]",[9],"[""o""]",27
17,[7],"[""ব""]",[11],"[""b""]",27
20,[15],"[""দ""]",[14],"[""d""]",20
14,[33],"[""ফ""]",[23],"[""pʰ""]",19
21,[21],"[""খ""]",[15],"[""kʰ""]",18
15,[18],"[""এ""]",[7],"[""e""]",17
16,[5],"[""ক""]",[12],"[""k""]",17
18,[19],"[""জ""]",[13],"[""dʒ""]",17
9,[24],"[""ছ""]","[5,43]","[""t"",""ʃʰ""]",15
19,[30],"[""ও""]",[9],"[""o""]",13
8,[48],"[""ৌ""]","[9,34]","[""o"",""uː""]",7
22,[6],"[""ন""]",[22],"[""n""]",3
23,[26],"[""চ""]","[5,8]","[""t"",""ʃ""]",2
24,[11],"[""ু""]",[34],"[""uː""]",2
25,[28],"[""ই""]",[6],"[""iː""]",2
1,[3],"[""র""]",[3],"[""r""]",0
5,[12],"[""স""]",[33],"[""s""]",0
26,[23],"[""ট""]",[44],"[""ʈ""]",0
27,[42],"[""ঠ""]",[29],"[""ʈʰ""]",0
28,[40],"[""উ""]",[34],"[""uː""]",0
29,[27],"[""শ""]",[8],"[""ʃ""]",0
30,[25],"[""গ""]",[30],"[""g""]",0
31,[26],"[""চ""]","[5,8,10]","[""t"",""ʃ"",""ɔ""]",0
33,[61],"[""্""]",[47],"[""∅""]",0
34,[15],"[""দ""]","[14,10]","[""d"",""ɔ""]",0
35,"[17,62]","[""য"",""়""]",[21],"[""j""]",0
36,[24],"[""ছ""]","[5,43,10]","[""t"",""ʃʰ"",""ɔ""]",0
37,[3],"[""র""]","[3,10]","[""r"",""ɔ""]",0
38,[6],"[""ন""]","[22,10]","[""n"",""ɔ""]",0
39,[13],"[""প""]","[16,10]","[""p"",""ɔ""]",0
40,[13],"[""প""]",[16],"[""p""]",0
41,"[1,36]","[""া"",""ঁ""]",[1],"[""ɐ""]",0
42,[33],"[""ফ""]","[23,10]","[""pʰ"",""ɔ""]",0
43,[12],"[""স""]","[39,10]","[""ɕ"",""ɔ""]",0
44,[10],"[""ল""]",[32],"[""l""]",0
45,[31],"[""ভ""]",[17],"[""bʱ""]",0
46,[38],"[""ী""]",[6],"[""iː""]",0
47,[47],"[""ূ""]",[34],"[""uː""]",0
48,[17],"[""য""]","[13,10]","[""dʒ"",""ɔ""]",0
49,[39],"[""ষ""]",[8],"[""ʃ""]",0
50,[10],"[""ল""]","[32,10]","[""l"",""ɔ""]",0
