id,text,diacritic,usage_count
1,া,true,1314
2,ে,true,1290
3,র,false,929
4,ি,true,754
5,ক,false,591
6,ন,false,562
8,ত,false,430
61,্,true,425
10,ল,false,382
9,ম,false,380
7,ব,false,366
12,স,false,343
15,দ,false,310
14,ো,true,297
11,ু,true,287
13,প,false,226
19,জ,false,220
16,য়,false,208
17,য,false,200
24,ছ,false,190
21,খ,false,189
23,ট,false,180
20,আ,false,169
22,হ,false,166
26,চ,false,144
18,এ,false,135
25,গ,false,133
27,শ,false,128
29,ড়,false,119
30,ও,false,104
28,ই,false,102
33,ফ,false,82
37,অ,false,78
31,ভ,false,76
32,থ,false,73
40,উ,false,63
35,ধ,false,62
62,়,true,61
38,ী,true,59
42,ঠ,false,46
43,ঙ,false,45
36,ঁ,true,43
44,ড,false,36
34,ং,false,34
48,ৌ,true,25
39,ষ,false,20
41,ণ,false,18
47,ূ,true,12
49,ঝ,false,10
50,ৎ,false,9
45,ঘ,false,8
52,ঞ,false,6
54,ঢ,false,5
55,ঃ,true,4
46,ৃ,true,3
56,ঐ,false,2
51,ৈ,true,1
59,ঈ,false,0
60,ঊ,false,0
57,ঋ,false,0
58,ঔ,false,0
53,ঢ়,false,0
