id,value,symbol,word_ids,word_texts
1,0,০,[38],"[""শূন্য""]"
2,1,১,[6],"[""এক""]"
3,2,২,[15],"[""দুই""]"
4,3,৩,[13],"[""তিন""]"
5,4,৪,[14],"[""চার""]"
6,5,৫,[20],"[""পাঁচ""]"
7,6,৬,[29],"[""ছয়""]"
8,7,৭,[22],"[""সাত""]"
9,8,৮,[23],"[""আট""]"
10,9,৯,[33],"[""নয়""]"
11,10,১০,[19],"[""দশ""]"
12,11,১১,[27],"[""এগার""]"
13,12,১২,[21],"[""বার""]"
14,13,১৩,[30],"[""তের""]"
15,14,১৪,[28],"[""চতুর্দশ""]"
16,15,১৫,[35],"[""পনের""]"
17,16,১৬,[39],"[""ষোল""]"
18,17,১৭,[40],"[""সতের""]"
19,18,১৮,[24],"[""আঠার""]"
20,19,১৯,[25],"[""উনিশ""]"
21,20,২০,[37],"[""বিশ""]"
22,21,২১,[26],"[""একুশ""]"
23,22,২২,[36],"[""বাইশ""]"
25,23,২৩,[44],"[""তেইশ""]"
24,30,৩০,[31],"[""ত্রিশ""]"
