id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
1,ɐ,6,,false,VOWEL,3500
7,e,e,,false,VOWEL,1200
46,ɾ," 4",,false,CONSONANT,1023
5,t,t,,false,CONSONANT,760
6,iː,i,,false,VOWEL,618
4,m,m,,false,CONSONANT,504
8,ʃ,S,,false,CONSONANT,175
11,b,b,,false,CONSONANT,135
9,o,o,,false,VOWEL,135
14,d,d,,false,CONSONANT,80
12,k,k,,false,CONSONANT,76
2,.,.,,false,,72
15,kʰ,k_h,,false,CONSONANT,54
43,ʃʰ,S_h,,false,CONSONANT,30
23,pʰ,p_h,,false,CONSONANT,19
22,n,n,,false,CONSONANT,18
13,dʒ,dZ,,false,CONSONANT,17
44,ʈ,t`,,false,CONSONANT,16
34,uː,u,,false,VOWEL,13
17,bʱ,b_h,,false,CONSONANT,0
19,dʒʱ,dZ_h\,,false,CONSONANT,0
20,dʱ,d_h\,,false,CONSONANT,0
30,g,g,,false,CONSONANT,0
31,h,h,,false,CONSONANT,0
21,j,j,,false,CONSONANT,0
32,l,l,,false,CONSONANT,0
16,p,p,,false,CONSONANT,0
3,r,r,,false,CONSONANT,0
33,s,s,,false,CONSONANT,0
24,tʰ,t_h,,false,CONSONANT,0
35,w,w,,false,CONSONANT,0
36,z,z,,false,CONSONANT,0
37,æ,{,,false,VOWEL,0
38,ŋ,N,,false,CONSONANT,0
10,ɔ,O,,false,VOWEL,0
39,ɕ,s\,,false,,0
40,ɖ,d`,,false,CONSONANT,0
25,ɖʱ,d`_h\,,false,CONSONANT,0
26,ɡʱ,g_h\,,false,CONSONANT,0
41,ɦ,h\,,false,CONSONANT,0
42,ɸ,p\,,false,,0
27,ɽ,r`,,false,CONSONANT,0
28,ɽʱ,r`_h\,,false,CONSONANT,0
29,ʈʰ,t`_h,,false,CONSONANT,0
18,ː,:,,false,,0
45,β,B,,false,,0
47,∅,*,,false,,0
