id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
2,তার,"[{""allophones"":[""t""],""id"":3,""letters"":[""ত""],""usageCount"":53},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""ɾ""],""id"":2,""letters"":[""র""],""usageCount"":78}]",42,,PERFECT,,
1,আমি,"[{""allophones"":[""ɐ""],""id"":11,""letters"":[""আ""],""usageCount"":47},{""allophones"":[""m""],""id"":7,""letters"":[""ম""],""usageCount"":81},{""allophones"":[""iː""],""id"":10,""letters"":[""ি""],""usageCount"":67}]",38,PRONOUN,,,
3,সে,"[{""allophones"":[""ʃ""],""id"":6,""letters"":[""স""],""usageCount"":53},{""allophones"":[""e""],""id"":12,""letters"":[""ে""],""usageCount"":87}]",34,PRONOUN,,,
9,মা,"[{""allophones"":[""m""],""id"":7,""letters"":[""ম""],""usageCount"":81},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140}]",20,NOUN,PERFECT,,
41,সোফি,"[{""allophones"":[""ʃ""],""id"":6,""letters"":[""স""],""usageCount"":53},{""allophones"":[""o""],""id"":13,""letters"":[""ো""],""usageCount"":27},{""allophones"":[""pʰ""],""id"":14,""letters"":[""ফ""],""usageCount"":19},{""allophones"":[""iː""],""id"":10,""letters"":[""ি""],""usageCount"":67}]",19,,,,
6,এক,"[{""allophones"":[""e""],""id"":15,""letters"":[""এ""],""usageCount"":17},{""allophones"":[""k""],""id"":16,""letters"":[""ক""],""usageCount"":17}]",17,,,,
8,বাজারে,"[{""allophones"":[""b""],""id"":17,""letters"":[""ব""],""usageCount"":27},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""dʒ""],""id"":18,""letters"":[""জ""],""usageCount"":17},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""ɾ""],""id"":2,""letters"":[""র""],""usageCount"":78},{""allophones"":[""e""],""id"":12,""letters"":[""ে""],""usageCount"":87}]",17,,,,
4,ও,"[{""allophones"":[""o""],""id"":19,""letters"":[""ও""],""usageCount"":13}]",13,,,,
12,দেখাবে,"[{""allophones"":[""d""],""id"":20,""letters"":[""দ""],""usageCount"":20},{""allophones"":[""e""],""id"":12,""letters"":[""ে""],""usageCount"":87},{""allophones"":[""kʰ""],""id"":21,""letters"":[""খ""],""usageCount"":18},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""b""],""id"":17,""letters"":[""ব""],""usageCount"":27},{""allophones"":[""e""],""id"":12,""letters"":[""ে""],""usageCount"":87}]",10,VERB,,,
5,আমার,"[{""allophones"":[""ɐ""],""id"":11,""letters"":[""আ""],""usageCount"":47},{""allophones"":[""m""],""id"":7,""letters"":[""ম""],""usageCount"":81},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""ɾ""],""id"":2,""letters"":[""র""],""usageCount"":78}]",9,PRONOUN,HIGHLY_PHONEMIC,,
7,তারা,"[{""allophones"":[""t""],""id"":3,""letters"":[""ত""],""usageCount"":53},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""ɾ""],""id"":2,""letters"":[""র""],""usageCount"":78},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140}]",8,,PERFECT,,
18,দেখেছো,"[{""allophones"":[""d""],""id"":20,""letters"":[""দ""],""usageCount"":20},{""allophones"":[""e""],""id"":12,""letters"":[""ে""],""usageCount"":87},{""allophones"":[""kʰ""],""id"":21,""letters"":[""খ""],""usageCount"":18},{""allophones"":[""e""],""id"":12,""letters"":[""ে""],""usageCount"":87},{""allophones"":[""t"",""ʃʰ""],""id"":9,""letters"":[""ছ""],""usageCount"":15},{""allophones"":[""o""],""id"":13,""letters"":[""ো""],""usageCount"":27}]",8,VERB,,,
42,মৌমাছি,"[{""allophones"":[""m""],""id"":7,""letters"":[""ম""],""usageCount"":81},{""allophones"":[""o"",""uː""],""id"":8,""letters"":[""ৌ""],""usageCount"":7},{""allophones"":[""m""],""id"":7,""letters"":[""ম""],""usageCount"":81},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""t"",""ʃʰ""],""id"":9,""letters"":[""ছ""],""usageCount"":15},{""allophones"":[""iː""],""id"":10,""letters"":[""ি""],""usageCount"":67}]",7,NOUN,,,
13,তিন,"[{""allophones"":[""t""],""id"":3,""letters"":[""ত""],""usageCount"":53},{""allophones"":[""iː""],""id"":10,""letters"":[""ি""],""usageCount"":67},{""allophones"":[""n""],""id"":22,""letters"":[""ন""],""usageCount"":3}]",3,NUMBER,,,
14,চার,"[{""allophones"":[""t"",""ʃ""],""id"":23,""letters"":[""চ""],""usageCount"":2},{""allophones"":[""ɐ""],""id"":4,""letters"":[""া""],""usageCount"":140},{""allophones"":[""ɾ""],""id"":2,""letters"":[""র""],""usageCount"":78}]",2,NUMBER,,,
