id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
6,"[20,8]","[""t"",""h""]",[27],"[""θ""]",234
8,[9],"[""i""]",[8],"[""ɪ""]",211
5,[20],"[""t""]",[18],"[""t""]",199
26,[5],"[""e""]",[10],"[""ə""]",176
2,[1],"[""a""]",[5],"[""æ""]",120
27,[15],"[""o""]",[3],"[""u""]",107
12,[14],"[""n""]",[36],"[""n""]",102
29,[19],"[""s""]",[30],"[""z""]",87
10,[8],"[""h""]",[33],"[""h""]",79
21,[4],"[""d""]",[21],"[""d""]",79
9,[5],"[""e""]",[4],"[""iː""]",64
28,[1],"[""a""]",[10],"[""ə""]",64
11,[23],"[""w""]",[39],"[""w""]",60
3,[2],"[""b""]",[20],"[""b""]",57
17,[19],"[""s""]",[29],"[""s""]",57
31,[12],"[""l""]",[34],"[""l""]",54
1,[18],"[""r""]",[38],"[""r""]",48
16,[13],"[""m""]",[35],"[""m""]",45
24,[21],"[""u""]",[6],"[""ʌ""]",31
7,[5],"[""e""]",[7],"[""ɛ""]",26
30,"[20,20]","[""t"",""t""]",[18],"[""t""]",26
32,"[12,5]","[""l"",""e""]","[10,34]","[""ə"",""l""]",26
43,[25],"[""y""]",[40],"[""j""]",26
44,"[15,21]","[""o"",""u""]",[3],"[""u""]",26
33,[6],"[""f""]",[25],"[""f""]",22
34,[25],"[""y""]","[1,8]","[""ɑ"",""ɪ""]",22
45,[1],"[""a""]",[1],"[""ɑ""]",21
46,"[18,5]","[""r"",""e""]",[38],"[""r""]",21
48,[1],"[""a""]",[87],"[""ɔː""]",20
49,"[12,12]","[""l"",""l""]",[34],"[""l""]",20
61,[25],"[""y""]",[8],"[""ɪ""]",20
63,"[20,8]","[""t"",""h""]",[28],"[""ð""]",20
38,[1],"[""a""]",[6],"[""ʌ""]",17
40,[15],"[""o""]","[39,6]","[""w"",""ʌ""]",17
41,"[14,5]","[""n"",""e""]",[36],"[""n""]",17
4,[9],"[""i""]",[10],"[""ə""]",16
47,[3],"[""c""]",[19],"[""k""]",15
42,[16],"[""p""]",[17],"[""p""]",14
39,[15],"[""o""]",[6],"[""ʌ""]",13
67,[1],"[""a""]",[90],"[""ɑː""]",13
18,[7],"[""g""]",[22],"[""g""]",12
23,[15],"[""o""]","[86,9]","[""o"",""ʊ""]",9
14,[22],"[""v""]",[26],"[""v""]",7
15,[5],"[""e""]",[85],"[""∅""]",7
20,"[15,15]","[""o"",""o""]",[3],"[""u""]",7
57,"[21,5]","[""u"",""e""]",[3],"[""u""]",6
65,"[13,5]","[""m"",""e""]",[35],"[""m""]",4
55,[5],"[""e""]",[88],"[""ɛː""]",3
22,[15],"[""o""]",[2],"[""ɔ""]",2
51,[1],"[""a""]","[7,8]","[""ɛ"",""ɪ""]",2
64,"[15,23]","[""o"",""w""]",[12],"[""aʊ""]",2
19,"[15,1]","[""o"",""a""]","[86,9]","[""o"",""ʊ""]",0
25,"[5,5]","[""e"",""e""]",[4],"[""iː""]",0
35,[11],"[""k""]",[19],"[""k""]",0
37,"[14,7]","[""n"",""g""]",[37],"[""ŋ""]",0
50,"[16,16]","[""p"",""p""]",[17],"[""p""]",0
52,"[20,5]","[""t"",""e""]",[18],"[""t""]",0
53,[15],"[""o""]",[10],"[""ə""]",0
54,[25],"[""y""]",[4],"[""iː""]",0
56,"[3,11]","[""c"",""k""]",[19],"[""k""]",0
58,"[15,15]","[""o"",""o""]",[9],"[""ʊ""]",0
59,[15],"[""o""]",[1],"[""ɑ""]",0
60,[24],"[""x""]","[19,29]","[""k"",""s""]",0
62,"[9,1]","[""i"",""a""]",[40],"[""j""]",0
66,[1],"[""a""]",[89],"[""æː""]",0
68,"[3,8]","[""c"",""h""]","[18,31]","[""t"",""ʃ""]",0
69,[9],"[""i""]",[91],"[""ɜː""]",0
70,[3],"[""c""]",[29],"[""s""]",0
71,"[6,6]","[""f"",""f""]",[25],"[""f""]",0
72,"[15,21]","[""o"",""u""]","[92,9]","[""a"",""ʊ""]",0
73,[21],"[""u""]","[40,93]","[""j"",""uː""]",0
74,[26],"[""z""]",[30],"[""z""]",0
75,[5],"[""e""]",[8],"[""ɪ""]",0
