id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[18],"[""r""]",[38],"[""r""]",0
2,[1],"[""a""]",[5],"[""æ""]",0
3,[2],"[""b""]",[20],"[""b""]",0
4,[9],"[""i""]",[10],"[""ə""]",0
5,[20],"[""t""]",[18],"[""t""]",0
6,"[20,8]","[""t"",""h""]",[27],"[""θ""]",0
7,[5],"[""e""]",[7],"[""ɛ""]",0
8,[9],"[""i""]",[8],"[""ɪ""]",0
9,[5],"[""e""]",[4],"[""iː""]",0
10,[8],"[""h""]",[33],"[""h""]",0
11,[23],"[""w""]",[39],"[""w""]",0
12,[14],"[""n""]",[36],"[""n""]",0
14,[22],"[""v""]",[26],"[""v""]",0
15,[5],"[""e""]",[85],"[""∅""]",0
16,[13],"[""m""]",[35],"[""m""]",0
17,[19],"[""s""]",[29],"[""s""]",0
18,[7],"[""g""]",[22],"[""g""]",0
19,"[15,1]","[""o"",""a""]","[86,9]","[""o"",""ʊ""]",0
20,"[15,15]","[""o"",""o""]",[3],"[""u""]",0
21,[4],"[""d""]",[21],"[""d""]",0
22,[15],"[""o""]",[2],"[""ɔ""]",0
23,[15],"[""o""]","[86,9]","[""o"",""ʊ""]",0
24,[21],"[""u""]",[6],"[""ʌ""]",0
25,"[5,5]","[""e"",""e""]",[4],"[""iː""]",0
26,[5],"[""e""]",[10],"[""ə""]",0
27,[15],"[""o""]",[3],"[""u""]",0
28,[1],"[""a""]",[10],"[""ə""]",0
29,[19],"[""s""]",[30],"[""z""]",0
30,"[20,20]","[""t"",""t""]",[18],"[""t""]",0
31,[12],"[""l""]",[34],"[""l""]",0
32,"[12,5]","[""l"",""e""]","[10,34]","[""ə"",""l""]",0
33,[6],"[""f""]",[25],"[""f""]",0
34,[25],"[""y""]","[1,8]","[""ɑ"",""ɪ""]",0
35,[11],"[""k""]",[19],"[""k""]",0
37,"[14,7]","[""n"",""g""]",[37],"[""ŋ""]",0
38,[1],"[""a""]",[6],"[""ʌ""]",0
39,[15],"[""o""]",[6],"[""ʌ""]",0
40,[15],"[""o""]","[39,6]","[""w"",""ʌ""]",0
41,"[14,5]","[""n"",""e""]",[36],"[""n""]",0
42,[16],"[""p""]",[17],"[""p""]",0
43,[25],"[""y""]",[40],"[""j""]",0
44,"[15,21]","[""o"",""u""]",[3],"[""u""]",0
45,[1],"[""a""]",[1],"[""ɑ""]",0
46,"[18,5]","[""r"",""e""]",[38],"[""r""]",0
47,[3],"[""c""]",[19],"[""k""]",0
48,[1],"[""a""]",[87],"[""ɔː""]",0
49,"[12,12]","[""l"",""l""]",[34],"[""l""]",0
50,"[16,16]","[""p"",""p""]",[17],"[""p""]",0
51,[1],"[""a""]","[7,8]","[""ɛ"",""ɪ""]",0
52,"[20,5]","[""t"",""e""]",[18],"[""t""]",0
53,[15],"[""o""]",[10],"[""ə""]",0
