id,text,diacritic,usage_count
1,a,false,1125
2,b,false,152
3,c,false,253
4,d,false,454
5,e,false,1644
6,f,false,234
7,g,false,304
8,h,false,894
9,i,false,821
10,j,false,16
11,k,false,138
12,l,false,620
13,m,false,325
14,n,false,784
15,o,false,996
16,p,false,185
17,q,false,3
18,r,false,824
19,s,false,887
20,t,false,1269
21,u,false,324
22,v,false,115
23,w,false,299
24,x,false,16
25,y,false,317
26,z,false,7
78,E,false,30
79,A,false,42
80,T,false,90
81,B,false,55
82,C,false,22
83,D,false,8
84,F,false,11
85,G,false,6
86,H,false,37
87,I,false,54
88,J,false,4
89,K,false,4
90,L,false,40
91,M,false,27
92,N,false,6
93,O,false,15
94,P,false,11
95,Q,false,0
96,R,false,26
97,S,false,64
98,U,false,8
99,V,false,1
100,W,false,44
101,X,false,0
102,Y,false,10
103,Z,false,0
128,ä,true,0
129,ö,true,0
130,ü,true,0
