id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
18,t,t,,false,CONSONANT,5797
8,ɪ,I,,false,VOWEL,5369
36,n,n,,false,CONSONANT,2805
5,æ,{,,false,VOWEL,2040
10,ə,@,,false,VOWEL,1944
27,θ,T,,false,CONSONANT,1872
20,b,b,,false,CONSONANT,1311
38,r,r,,false,CONSONANT,885
34,l,l,,false,CONSONANT,758
21,d,d,,false,CONSONANT,632
29,s,s,,false,CONSONANT,570
39,w,w,,false,CONSONANT,377
30,z,z,,false,CONSONANT,348
4,iː,i:,,false,VOWEL,320
33,h,h,,false,CONSONANT,316
35,m,m,,false,CONSONANT,278
19,k,k,,false,CONSONANT,270
7,ɛ,E,,false,VOWEL,266
3,u,u,,false,VOWEL,252
25,f,f,,false,CONSONANT,216
6,ʌ,V,,false,VOWEL,184
1,ɑ,A,,false,VOWEL,64
22,g,g,,false,CONSONANT,48
17,p,p,,false,CONSONANT,42
28,ð,D,,false,CONSONANT,40
87,ɔː,O:,,false,VOWEL,40
26,v,v,,false,CONSONANT,39
86,o,o,,false,VOWEL,27
9,ʊ,U,,false,VOWEL,27
40,j,j,,false,CONSONANT,26
90,ɑː,A:,,false,VOWEL,26
2,ɔ,O,,false,VOWEL,14
93,uː,u:,,false,VOWEL,7
85,∅,*,,false,,7
92,a,a,,false,VOWEL,6
88,ɛː,E:,,false,VOWEL,6
12,aʊ,aU,,false,VOWEL,2
82,.,.,,false,,0
24,dʒ,dZ,,false,CONSONANT,0
94,i,i,,false,VOWEL,0
11,r̩,r_=,,false,CONSONANT,0
23,tʃ,tS,,false,CONSONANT,0
89,æː,{:,,false,VOWEL,0
37,ŋ,N,,false,CONSONANT,0
16,ɑɪ,AI,,false,VOWEL,0
13,ɔɪ,OI,,false,VOWEL,0
14,əʊ,@U,,false,VOWEL,0
15,ɛɪ,EI,,false,VOWEL,0
84,ɜ,3,,false,VOWEL,0
91,ɜː,3:,,false,VOWEL,0
81,ɝ,@`,,false,,0
31,ʃ,S,,false,CONSONANT,0
32,ʒ,Z,,false,CONSONANT,0
78,ˈ,"""",,false,,0
79,ˌ,%,,false,,0
