id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
21,a,"[{""sounds"":[""ə""],""id"":28,""letters"":[""a""],""usageCount"":0}]",0,,HIGHLY_NON_PHONEMIC,,
60,africa,"[{""sounds"":[""æ""],""id"":2,""letters"":[""a""],""usageCount"":0},{""sounds"":[""f""],""id"":33,""letters"":[""f""],""usageCount"":0},{""sounds"":[""r""],""id"":1,""letters"":[""r""],""usageCount"":0},{""sounds"":[""ə""],""id"":4,""letters"":[""i""],""usageCount"":0},{""sounds"":[""k""],""id"":47,""letters"":[""c""],""usageCount"":0},{""sounds"":[""ə""],""id"":28,""letters"":[""a""],""usageCount"":0}]",0,,,,
108,all,[],0,NOUN,NON_PHONEMIC,,
109,am,[],0,,,,
22,and,"[{""sounds"":[""æ""],""id"":13,""letters"":[""a""],""usageCount"":0},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":0},{""sounds"":[""d""],""id"":21,""letters"":[""d""],""usageCount"":0}]",0,,PERFECT,,
59,animals,[],0,NOUN,PHONEMIC,,
58,ant,"[{""sounds"":[""æ""],""id"":13,""letters"":[""a""],""usageCount"":0},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":0},{""sounds"":[""t""],""id"":5,""letters"":[""t""],""usageCount"":0}]",0,NOUN,PERFECT,,
57,apple,[],0,,,,
110,are,"[{""sounds"":[""ɑ""],""id"":45,""letters"":[""a""],""usageCount"":0},{""sounds"":[""r""],""id"":46,""letters"":[""r"",""e""],""usageCount"":0}]",0,VERB,HIGHLY_NON_PHONEMIC,113,be
111,at,[],0,,PERFECT,,
112,ate,[],0,VERB,HIGHLY_NON_PHONEMIC,,
61,avocado,[],0,,,,
23,away,[],0,,,,
65,baby,[],0,NOUN,NON_PHONEMIC,,
63,ball,[],0,NOUN,HIGHLY_PHONEMIC,,
64,banana,[],0,,,,
617,bat,[],0,,,,
113,be,[],0,VERB,NON_PHONEMIC,,
66,bed,[],0,NOUN,PERFECT,,
375,bee,[],0,,,,
24,big,"[{""sounds"":[""b""],""id"":3,""letters"":[""b""],""usageCount"":0},{""sounds"":[""ɪ""],""id"":8,""letters"":[""i""],""usageCount"":0},{""sounds"":[""g""],""id"":18,""letters"":[""g""],""usageCount"":0}]",0,ADJECTIVE,PERFECT,,
67,bird,[],0,,,,
114,black,[],0,,,,
25,blue,[],0,NOUN,PHONEMIC,,
376,boat,[],0,,,,
377,boil,[],0,,,,
378,book,[],0,,,,
379,box,[],0,,,,
62,boy,[],0,,,,
68,brilliant,[],0,,,,
106,brother,[],0,,,,
115,brown,[],0,,,,
116,but,"[{""sounds"":[""b""],""id"":3,""letters"":[""b""],""usageCount"":0},{""sounds"":[""ʌ""],""id"":24,""letters"":[""u""],""usageCount"":0},{""sounds"":[""t""],""id"":5,""letters"":[""t""],""usageCount"":0}]",0,,PHONEMIC,,
117,came,[],0,,,,
26,can,[],0,VERB,PERFECT,,
73,candle,[],0,,,,
380,cap,[],0,,,,
70,car,[],0,,,,
69,cat,[],0,,,,
381,chick,[],0,,,,
382,chin,[],0,,,,
620,circle,[],0,,,,
383,cliff,[],0,,,,
384,cloth,[],0,,,,
673,cloud,[],0,,,,
385,clue,[],0,,,,
71,coconut,[],0,,,,
386,coin,[],0,,,,
27,come,[],0,VERB,NON_PHONEMIC,,
74,computer,[],0,,,,
387,cook,[],0,,,,
75,cool,[],0,,,,
388,corn,[],0,,,,
72,cow,[],0,NOUN,PHONEMIC,,
389,cup,[],0,,,,
390,dad,[],0,,,,
103,dance,[],0,VERB,PHONEMIC,,
391,day,[],0,NOUN,PHONEMIC,,
392,desk,[],0,,,,
118,did,[],0,VERB,PERFECT,,
393,die,[],0,,,,
394,dig,[],0,,,,
100,dinosaur,[],0,,,,
659,dirt,[],0,,,,
395,dish,[],0,,,,
119,do,[],0,VERB,NON_PHONEMIC,,
98,dog,"[{""sounds"":[""d""],""id"":21,""letters"":[""d""],""usageCount"":0},{""sounds"":[""ɔ""],""id"":22,""letters"":[""o""],""usageCount"":0},{""sounds"":[""g""],""id"":18,""letters"":[""g""],""usageCount"":0}]",0,NOUN,PERFECT,,
101,doll,[],0,,,,
99,door,[],0,NOUN,PERFECT,,
28,down,[],0,VERB,NON_PHONEMIC,,
628,drink,[],0,,,,
629,drive,[],0,VERB,,,
102,drum,[],0,,,,
97,duck,[],0,,,,
95,eagle,[],0,,,,
92,ear,[],0,,,,
704,earth,[],0,NOUN,HIGHLY_NON_PHONEMIC,,
94,eat,[],0,VERB,HIGHLY_NON_PHONEMIC,,
96,education,[],0,,,,
90,egg,[],0,,,,
93,eggplant,[],0,,,,
9,eight,[],0,,,,
684,eighteen,[],0,,,,
91,elephant,[],0,,,,
677,eleven,[],0,,,,
664,eyes,[],0,NOUN,,,
85,face,[],0,,,,
84,family,[],0,,,,
396,fan,[],0,,,,
397,far,[],0,,,,
398,fat,[],0,,,,
104,father,[],0,NOUN,NON_PHONEMIC,,
399,feet,[],0,,,,
681,fifteen,[],0,,,,
699,fifty,[],0,,,,
700,fifty one,[],0,,,,
29,find,[],0,VERB,HIGHLY_PHONEMIC,,
666,finger,[],0,,,,
83,fish,[],0,,,,
6,five,[],0,,,,
400,fix,[],0,,,,
401,fizz,[],0,,,,
619,flower,[],0,,,,
402,fluff,[],0,,,,
