id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
1,ɑ,A,,false,VOWEL,5077
5,n,n,,false,CONSONANT,1629
8,ː,:,,false,,1563
3,ŋ,N,,false,CONSONANT,1477
2,s,s,,false,CONSONANT,1006
18,ˈ,,,false,,1004
14,ɪ,I,,false,VOWEL,966
7,t,t,,false,CONSONANT,913
6,ɔ,O,,false,VOWEL,871
15,k,k,,false,CONSONANT,753
4,iː,i,,false,VOWEL,669
13,l,l,,false,CONSONANT,667
10,j,j,,false,CONSONANT,587
11,u,u,,false,VOWEL,574
16,m,m,,false,CONSONANT,571
9,p,p,,false,CONSONANT,498
20,b,b,,false,CONSONANT,407
22,g,g,,false,CONSONANT,302
12,r,r,,false,CONSONANT,286
17,d,d,,false,CONSONANT,240
19,h,h,,false,CONSONANT,192
23,w,w,,false,CONSONANT,174
21,ɛ,E,,false,VOWEL,127
24,ʃ,S,,false,CONSONANT,81
27,.,.,,false,,56
38,ə,@,,false,VOWEL,36
41,ɲ,J,,false,CONSONANT,22
25,ɑɪ,AI,,false,VOWEL,10
34,v,v,,false,CONSONANT,9
29,ʔ,?,,false,VOWEL,9
46,ˌ,%,,false,,8
37,ɔɪ,OI,,false,VOWEL,6
31,dʒ,dZ,,false,CONSONANT,4
33,tʃ,tS,,false,CONSONANT,4
26,z,z,,false,CONSONANT,1
43,ʊ,U,,false,VOWEL,1
30,aʊ,aU,,false,VOWEL,0
32,f,f,,false,CONSONANT,0
28,r̩,r_=,,false,CONSONANT,0
35,æ,{,,false,VOWEL,0
36,ð,D,,false,CONSONANT,0
39,əʊ,@U,,false,VOWEL,0
40,ɛɪ,EI,,false,VOWEL,0
42,ɾ,4,,false,CONSONANT,0
44,ʌ,V,,false,VOWEL,0
45,ʒ,Z,,false,CONSONANT,0
47,θ,T,,false,CONSONANT,0
