id,content_type,content_license,attribution_url,word_id,title,transcription,download_url,audio_format
1,audio/wav,CREATIVE_COMMONS_CC_BY,"http://fil.elimu.ai",,"mama","mama","/audio/1.wav",WAV
2,audio/mpeg,null,"null",1,"ang","ang","/audio/2.mp3",MP3
3,audio/mpeg,null,"null",4,"sa","sa","/audio/3.mp3",MP3
4,audio/mpeg,null,"null",137,"ng","ng","/audio/4.mp3",MP3
5,audio/mpeg,null,"null",3,"na","na","/audio/5.mp3",MP3
6,audio/mpeg,null,"null",2,"ay","ay","/audio/6.mp3",MP3
7,audio/mpeg,null,"null",215,"word-215","agad","/audio/7.mp3",MP3
8,audio/mpeg,null,"null",230,"word-230","aking","/audio/8.mp3",MP3
9,audio/mpeg,null,"null",319,"word-319","aklat","/audio/9.mp3",MP3
10,audio/mpeg,null,"null",14,"word-14","ako","/audio/10.mp3",MP3
11,audio/mpeg,null,"null",200,"word-200","alam","/audio/11.mp3",MP3
12,audio/mpeg,null,"null",425,"word-425","amin","/audio/12.mp3",MP3
13,audio/mpeg,null,"null",,"storybook-2-ch-1-par-1","Ngayong araw kami ay maraming gagawin. Lahat kami  ay tutulong!","/audio/13.mp3",MP3
14,audio/mpeg,null,"null",,"storybook-2-ch-2-par-1","Nakita ko si Nanay na tumutulong.","/audio/14.mp3",MP3
15,audio/mpeg,null,"null",,"storybook-2-ch-3-par-1","Nakita ko si tatay na tumutulong.","/audio/15.mp3",MP3
16,audio/mpeg,null,"null",,"storybook-2-ch-4-par-1","Nakita naming tumutulong si kuya.","/audio/16.mp3",MP3
17,audio/mpeg,null,"null",,"storybook-2-ch-5-par-1","Nakita kong tumutulong si Lola.","/audio/17.mp3",MP3
18,audio/mpeg,null,"null",,"storybook-2-ch-6-par-1","Nakita kong tumutulong si Lolo.","/audio/18.mp3",MP3
19,audio/mpeg,null,"null",,"storybook-2-ch-7-par-1","Nakito kong tumutulong si Tito.","/audio/19.mp3",MP3
20,audio/mpeg,null,"null",,"storybook-2-ch-8-par-1","Ngayong araw ay kaarawan ni Ate.","/audio/20.mp3",MP3
21,audio/mpeg,null,"null",,"storybook-2-ch-8-par-2","At tumulong kaming lahat!","/audio/21.mp3",MP3
23,audio/mpeg,null,"null",83,"word-83","sero","/audio/23.mp3",MP3
24,audio/mpeg,null,"null",424,"word-424","aming","/audio/24.mp3",MP3
25,audio/mpeg,null,"null",45,"word-45","anak","/audio/25.mp3",MP3
