id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
114,⌚,1.1,1.0,[279],"[""oras""]"
115,⌛,1.1,1.0,[279],"[""oras""]"
113,⏱️,6.0,1.0,[279],"[""oras""]"
116,⏲️,6.0,1.0,[279],"[""oras""]"
103,☀️,1.1,1.0,"[265,26]","[""enerhiya"",""araw""]"
39,☔,4.0,1.0,[138],"[""tubig""]"
104,⚡,4.0,1.0,[265],"[""enerhiya""]"
169,⚽,5.2,1.0,[363],"[""bola""]"
183,⛵,5.2,1.0,[396],"[""dagat""]"
23,✈️,1.1,1.0,"[304,172,377,102]","[""mabilis"",""makalilipad"",""lumipad"",""nakakalipad""]"
34,✋,6.0,1.0,"[124,248]","[""huminto"",""kamay""]"
1,✍️,1.1,1.0,"[73,248]","[""magsulat"",""kamay""]"
89,✨,6.0,1.0,[241],"[""bituin""]"
143,❄️,1.1,1.0,"[362,54]","[""napakalamig"",""malamig""]"
166,❓,6.0,1.0,[358],"[""tanong""]"
2,❤️,1.1,1.0,[411],"[""pula""]"
86,🌃,6.0,1.0,"[287,241,350,436]","[""buwan"",""bituin"",""bahay"",""gabi""]"
179,🌄,6.0,1.0,[382],"[""silang""]"
178,🌅,6.0,1.0,"[396,382,436]","[""dagat"",""silang"",""gabi""]"
171,🌈,6.0,1.0,[367],"[""kulay""]"
196,🌉,6.0,1.0,"[241,436]","[""bituin"",""gabi""]"
38,🌊,6.0,1.0,"[396,138]","[""dagat"",""tubig""]"
90,🌌,6.0,1.0,"[314,241,436]","[""kalawakan"",""bituin"",""gabi""]"
191,🌏,6.0,1.0,[429],"[""planeta""]"
120,🌑,6.0,1.0,[],[]
123,🌔,6.0,1.0,[287],"[""buwan""]"
94,🌕,6.0,1.0,[287],"[""buwan""]"
121,🌘,6.0,1.0,[287],"[""buwan""]"
118,🌙,6.0,1.0,[287],"[""buwan""]"
122,🌜,6.0,1.0,[287],"[""buwan""]"
119,🌝,6.0,1.0,[287],"[""buwan""]"
3,🌞,6.0,1.0,[53],"[""mainit""]"
85,🌟,6.0,1.0,[241],"[""bituin""]"
87,🌠,6.0,1.0,[241],"[""bituin""]"
4,🌲,6.0,1.0,"[206,15]","[""kagubatan"",""puno""]"
65,🌳,6.0,1.0,"[206,15]","[""kagubatan"",""puno""]"
158,🌷,6.0,1.0,[345],"[""bulaklak""]"
157,🌸,6.0,1.0,[345],"[""bulaklak""]"
156,🌺,6.0,1.0,[345],"[""bulaklak""]"
155,🌻,6.0,1.0,[345],"[""bulaklak""]"
153,🌼,6.0,1.0,[345],"[""bulaklak""]"
75,🌾,6.0,1.0,[222],"[""palay""]"
35,🍂,6.0,1.0,"[130,206]","[""mahulog"",""kagubatan""]"
105,🍅,6.0,1.0,[270],"[""kamatis""]"
188,🍎,6.0,1.0,[411],"[""pula""]"
74,🍙,6.0,1.0,[],[]
73,🍚,6.0,1.0,[221],"[""kanin""]"
76,🍜,6.0,1.0,"[312,409]","[""kumain"",""pagkain""]"
53,🍞,6.0,1.0,[161],"[""tinapay""]"
180,🍣,6.0,1.0,"[394,107]","[""tuna"",""isda""]"
97,🍦,6.0,1.0,[255],"[""sorbetes""]"
96,🍨,6.0,1.0,[255],"[""sorbetes""]"
170,🍭,6.0,1.0,[367],"[""kulay""]"
135,🍳,6.0,1.0,"[409,280]","[""pagkain"",""lutuan""]"
55,🍴,6.0,1.0,[173],"[""makakain""]"
193,🍼,6.0,1.0,[433],"[""sanggol""]"
133,🍽️,7.0,1.0,"[312,409]","[""kumain"",""pagkain""]"
139,🎙️,7.0,1.0,[324],"[""kumanta""]"
129,🎠,6.0,1.0,[150],"[""kabayo""]"
137,🎤,6.0,1.0,[324],"[""kumanta""]"
83,🎵,6.0,1.0,[],[]
138,🎶,6.0,1.0,[324],"[""kumanta""]"
28,🎽,6.0,1.0,[117],"[""habulin""]"
168,🏂,6.0,1.0,[362],"[""napakalamig""]"
29,🏃,6.0,1.0,"[294,304,117]","[""tumakbo"",""mabilis"",""habulin""]"
164,🏆,6.0,1.0,[354],"[""magaling""]"
72,🏊,6.0,1.0,"[218,242]","[""lumangoy"",""lawa""]"
78,🏏,8.0,1.0,[],[]
126,🏗️,7.0,1.0,[293],"[""gawin""]"
162,🏘️,7.0,1.0,[350],"[""bahay""]"
144,🏞️,7.0,1.0,[326],"[""sapa""]"
161,🏠,6.0,1.0,[350],"[""bahay""]"
163,🏡,6.0,1.0,[350],"[""bahay""]"
194,🏫,6.0,1.0,[435],"[""paaralan""]"
71,🐄,6.0,1.0,[],[]
5,🐅,6.0,1.0,[25],"[""tigre""]"
6,🐈,6.0,1.0,"[120,9,352]","[""maupo"",""pusa"",""nakaupo""]"
81,🐊,6.0,1.0,[],[]
151,🐌,6.0,1.0,[341],"[""mabagal""]"
51,🐍,6.0,1.0,[158],"[""gumapang""]"
48,🐎,6.0,1.0,"[304,150]","[""mabilis"",""kabayo""]"
128,🐐,6.0,1.0,[298],"[""kambing""]"
127,🐑,6.0,1.0,[299],"[""tupa""]"
32,🐒,6.0,1.0,"[207,120,352]","[""unggoy"",""maupo"",""nakaupo""]"
61,🐓,6.0,1.0,[],[]
60,🐔,6.0,1.0,[372],"[""manok""]"
7,🐕,6.0,1.0,[7],"[""aso""]"
106,🐖,6.0,1.0,[274],"[""baboy""]"
41,🐘,6.0,1.0,[139],"[""elepante""]"
184,🐙,6.0,1.0,[396],"[""dagat""]"
93,🐚,6.0,1.0,[396],"[""dagat""]"
36,🐛,6.0,1.0,"[134,158]","[""bulate"",""gumapang""]"
52,🐜,6.0,1.0,[160],"[""langgam""]"
8,🐝,6.0,1.0,[58],"[""bubuyog""]"
25,🐟,6.0,1.0,"[138,394,107]","[""tubig"",""tuna"",""isda""]"
150,🐢,6.0,1.0,[341],"[""mabagal""]"
58,🐣,6.0,1.0,[185],"[""sisiw""]"
57,🐤,6.0,1.0,[185],"[""sisiw""]"
59,🐥,6.0,1.0,[185],"[""sisiw""]"
9,🐦,6.0,1.0,[19],"[""ibon""]"
10,🐧,6.0,1.0,[54],"[""malamig""]"
77,🐬,6.0,1.0,"[396,304,381,224]","[""dagat"",""mabilis"",""sumisid"",""lumukso""]"
66,🐵,6.0,1.0,[207],"[""unggoy""]"
107,🐷,6.0,1.0,[274],"[""baboy""]"
84,🐸,6.0,1.0,"[216,240]","[""tumalon"",""palaka""]"
108,🐽,6.0,1.0,[274],"[""baboy""]"
198,🐿️,7.0,1.0,[438],"[""iskuwirel""]"
22,👀,6.0,1.0,"[106,347,125,364,115]","[""makita"",""mata"",""dumungaw"",""pares"",""makakita""]"
159,👁️,7.0,1.0,[347],"[""mata""]"
174,👍,6.0,1.0,[371],"[""mabuti""]"
42,👒,6.0,1.0,"[373,140]","[""sombrero"",""sumbrero""]"
44,👓,6.0,1.0,"[106,349]","[""makita"",""salamin""]"
11,👖,6.0,1.0,"[427,27]","[""pantalon"",""damit""]"
12,👚,6.0,1.0,[27],"[""damit""]"
175,👞,6.0,1.0,[376],"[""sapatos""]"
30,👟,6.0,1.0,"[294,376,117]","[""tumakbo"",""sapatos"",""habulin""]"
176,👠,6.0,1.0,[376],"[""sapatos""]"
13,👦,6.0,1.0,"[357,135]","[""bata"",""toto""]"
165,👧,6.0,1.0,[357],"[""bata""]"
37,👨,6.0,1.0,"[55,136,380]","[""tatay"",""tata"",""lalaki""]"
14,👩,6.0,1.0,"[99,144,41]","[""ate"",""ina"",""nanay""]"
15,👴,6.0,1.0,[52],"[""lolo""]"
140,👵,6.0,1.0,[51],"[""lola""]"
192,👶,6.0,1.0,[433],"[""sanggol""]"
26,💃,6.0,1.0,[108],"[""sayaw""]"
173,💄,6.0,1.0,[367],"[""kulay""]"
