id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[1],"[""a""]",[1],"[""ɑ""]",5789
5,[2],"[""n""]",[5],"[""n""]",1966
23,"[2,4]","[""n"",""g""]",[3],"[""ŋ""]",1763
6,[5],"[""s""]",[2],"[""s""]",1541
14,[3],"[""i""]",[14],"[""ɪ""]",1258
7,[6],"[""t""]",[7],"[""t""]",1050
9,[7],"[""o""]",[6],"[""ɔ""]",1040
8,[3],"[""i""]",[4],"[""iː""]",978
17,[9],"[""k""]",[15],"[""k""]",935
27,[1],"[""a""]",[236],"[""ɑː""]",863
3,[11],"[""y""]",[10],"[""j""]",839
16,[8],"[""l""]",[13],"[""l""]",692
10,[12],"[""p""]",[9],"[""p""]",579
18,[13],"[""m""]",[16],"[""m""]",569
4,[15],"[""b""]",[20],"[""b""]",543
11,[10],"[""u""]",[11],"[""u""]",525
29,"[2,4]","[""n"",""g""]","[5,1,3]","[""n"",""ɑ"",""ŋ""]",499
12,[14],"[""r""]",[12],"[""r""]",387
15,[17],"[""d""]",[17],"[""d""]",336
20,[4],"[""g""]",[22],"[""g""]",298
13,[16],"[""h""]",[19],"[""h""]",277
30,"[13,4]","[""m"",""g""]","[16,1,3]","[""m"",""ɑ"",""ŋ""]",266
19,[20],"[""w""]",[23],"[""w""]",218
33,[10],"[""u""]",[238],"[""uː""]",141
24,"[5,3,11]","[""s"",""i"",""y""]",[24],"[""ʃ""]",129
21,[19],"[""e""]",[21],"[""ɛ""]",118
31,[7],"[""o""]",[237],"[""ɔː""]",113
22,[19],"[""e""]",[38],"[""ə""]",60
32,"[2,11]","[""n"",""y""]",[41],"[""ɲ""]",41
34,[19],"[""e""]",[239],"[""ɛː""]",28
26,"[6,5]","[""t"",""s""]",[33],"[""tʃ""]",12
25,"[5,11]","[""s"",""y""]",[24],"[""ʃ""]",1
2,[18],"[""A""]",[1],"[""ɑ""]",0
