id,text,sound_ids,sound_values_ipa,diacritic,usage_count
1,a,[1],"[""ɑ""]",false,8817
2,n,[5],"[""n""]",false,4802
3,i,[4],"[""iː""]",false,3436
4,g,[22],"[""g""]",false,3188
5,s,[2],"[""s""]",false,1708
6,t,[7],"[""t""]",false,1706
7,o,[6],"[""ɔ""]",false,1705
9,k,[15],"[""k""]",false,1505
8,l,[13],"[""l""]",false,1494
10,u,[11],"[""u""]",false,1447
13,m,[16],"[""m""]",false,1282
11,y,[10],"[""j""]",false,1151
12,p,[9],"[""p""]",false,1014
15,b,[20],"[""b""]",false,845
14,r,[42],"[""ɾ""]",false,683
16,h,[19],"[""h""]",false,527
17,d,[17],"[""d""]",false,511
19,e,[21],"[""ɛ""]",false,446
20,w,[23],"[""w""]",false,384
18,A,[1],"[""ɑ""]",false,277
22,N,[5],"[""n""]",false,241
23,S,[2],"[""s""]",false,177
30,T,[7],"[""t""]",false,148
29,M,[16],"[""m""]",false,136
21,P,[9],"[""p""]",false,134
24,H,[19],"[""h""]",false,117
28,I,[4],"[""iː""]",false,91
26,K,[15],"[""k""]",false,90
37,G,[22],"[""g""]",false,76
32,B,[20],"[""b""]",false,60
25,U,[11],"[""u""]",false,52
38,L,[13],"[""l""]",false,51
27,O,[6],"[""ɔ""]",false,46
31,W,[23],"[""w""]",false,46
40,D,[17],"[""d""]",false,39
33,E,[21],"[""ɛ""]",false,29
34,c,[15],"[""k""]",false,25
42,R,[42],"[""ɾ""]",false,19
49,Z,[26],"[""z""]",false,18
39,C,[15],"[""k""]",false,15
44,J,[31],"[""dʒ""]",false,13
35,j,[31],"[""dʒ""]",false,8
36,F,[32],"[""f""]",false,6
48,Y,[10],"[""j""]",false,4
41,f,[32],"[""f""]",false,3
46,V,[34],"[""v""]",false,1
45,Q,[15],"[""k""]",false,0
47,X,"[15,2]","[""k"",""s""]",false,0
50,q,[15],"[""k""]",false,0
43,v,[34],"[""v""]",false,0
51,x,"[15,2]","[""k"",""s""]",false,0
52,z,[26],"[""z""]",false,0
53,Ñ,[41],"[""ɲ""]",false,0
54,ñ,[41],"[""ɲ""]",false,0
