id,text,allophone_ids,allophone_values_ipa,letter_to_allophone_mappings,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
1,ang,"[1,3]","[""ɑ"",""ŋ""]","[{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",518,,HIGHLY_NON_PHONEMIC,,
4,sa,"[2,1]","[""s"",""ɑ""]","[{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",332,,PERFECT,,
137,ng,"[5,1,3]","[""n"",""ɑ"",""ŋ""]",[],313,,HIGHLY_NON_PHONEMIC,,
3,na,"[5,1]","[""n"",""ɑ""]","[{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",290,,PERFECT,,
2,ay,"[1,10]","[""ɑ"",""j""]","[{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""j"",""id"":3,""letters"":""y"",""usageCount"":403}]",227,,PERFECT,,
5,at,"[1,7]","[""ɑ"",""t""]","[{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707}]",179,,PERFECT,,
8,ni,"[5,4]","[""n"",""iː""]","[{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""iː"",""id"":8,""letters"":""i"",""usageCount"":722}]",177,,PERFECT,,
6,si,"[2,4]","[""s"",""iː""]","[{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079},{""allophones"":""iː"",""id"":8,""letters"":""i"",""usageCount"":722}]",176,,PERFECT,,
143,mga,"[16,1,3,1,8]","[""m"",""ɑ"",""ŋ"",""ɑ"",""ː""]",[],152,,NON_PHONEMIC,,
13,hindi,"[19,14,5,18,17,4]","[""h"",""ɪ"",""n"",""ˈ"",""d"",""iː""]","[{""allophones"":""h"",""id"":13,""letters"":""h"",""usageCount"":165},{""allophones"":""ɪ"",""id"":14,""letters"":""i"",""usageCount"":675},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""d"",""id"":15,""letters"":""d"",""usageCount"":204},{""allophones"":""iː"",""id"":8,""letters"":""i"",""usageCount"":722}]",83,,PERFECT,,
