id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
14,aː,a,,false,VOWEL,3426
15,eː,e,,false,VOWEL,3238
2,k,k,,false,CONSONANT,2669
3,ɦ,h\,,false,CONSONANT,2668
8,ə,@,,false,VOWEL,2405
16,iː,i,,false,VOWEL,1677
10,ɾ,4,,false,CONSONANT,1551
32,◌̃,~,,false,,1355
6,s,s,,false,CONSONANT,1214
7,t,t,,false,CONSONANT,1146
1,n,n,,false,CONSONANT,1115
4,m,m,,false,CONSONANT,1089
21,ɛː,E,,false,VOWEL,1080
20,oː,o,,false,VOWEL,950
9,p,p,,false,CONSONANT,689
23,ɪ,I,,false,VOWEL,577
22,ʊ,U,,false,VOWEL,574
12,b,b,,false,CONSONANT,529
31,dʒ,dZ,,false,CONSONANT,522
13,j,j,,false,CONSONANT,497
24,ɔː,O,,false,VOWEL,417
36,uː,u,,false,VOWEL,408
5,l,l,,false,CONSONANT,401
29,ʋ,v\,,false,CONSONANT,401
19,tʰ,t_h,,false,CONSONANT,351
17,d,d,,false,CONSONANT,343
30,g,g,,false,CONSONANT,254
18,bʱ,b_h\,,false,CONSONANT,221
35,ʈ,t`,,false,CONSONANT,132
28,ʃʰ,S_h,,false,CONSONANT,124
26,kʰ,k_h,,false,CONSONANT,116
27,ʃ,S,,false,CONSONANT,95
34,ɽ,r`,,false,CONSONANT,76
46,pʰ,p_h,,false,CONSONANT,68
38,dʱ,d_h\,,false,CONSONANT,57
11,z,z,,false,CONSONANT,51
37,ɡʱ,g_h\,,false,CONSONANT,51
45,ʂ,s`,,false,CONSONANT,27
33,ʈʰ,t`_h,,false,CONSONANT,25
43,f,f,,false,CONSONANT,0
25,x,x,,false,CONSONANT,0
40,ɖ,d`,,false,CONSONANT,0
44,ɖʱ,d`_h\,,false,CONSONANT,0
41,ɣ,G,,false,CONSONANT,0
42,ʒ,Z,,false,CONSONANT,0
39,∅,*,,false,,0
