id,letter_ids,letter_texts,allophone_ids,allophone_values_ipa,usage_count
1,[1],"[""a""]",[1],"[""ɑ""]",0
2,[18],"[""A""]",[1],"[""ɑ""]",0
3,[11],"[""y""]",[10],"[""j""]",0
4,[15],"[""b""]",[20],"[""b""]",0
5,[2],"[""n""]",[5],"[""n""]",0
6,[5],"[""s""]",[2],"[""s""]",0
7,[6],"[""t""]",[7],"[""t""]",0
8,[3],"[""i""]",[4],"[""iː""]",0
9,[7],"[""o""]",[6],"[""ɔ""]",0
10,[12],"[""p""]",[9],"[""p""]",0
11,[10],"[""u""]",[11],"[""u""]",0
12,[14],"[""r""]",[12],"[""r""]",0
13,[16],"[""h""]",[19],"[""h""]",0
14,[3],"[""i""]",[14],"[""ɪ""]",0
15,[17],"[""d""]",[17],"[""d""]",0
16,[8],"[""l""]",[13],"[""l""]",0
17,[9],"[""k""]",[15],"[""k""]",0
18,[13],"[""m""]",[16],"[""m""]",0
19,[20],"[""w""]",[23],"[""w""]",0
20,[4],"[""g""]",[22],"[""g""]",0
21,[19],"[""e""]",[21],"[""ɛ""]",0
22,[19],"[""e""]",[38],"[""ə""]",0
23,"[2,4]","[""n"",""g""]",[3],"[""ŋ""]",0
24,"[5,3,11]","[""s"",""i"",""y""]",[24],"[""ʃ""]",0
25,"[5,11]","[""s"",""y""]",[24],"[""ʃ""]",0
26,"[6,5]","[""t"",""s""]",[33],"[""tʃ""]",0
27,[1],"[""a""]","[1,8]","[""ɑ"",""ː""]",0
29,"[2,4]","[""n"",""g""]","[5,1,3]","[""n"",""ɑ"",""ŋ""]",0
30,"[13,4]","[""m"",""g""]","[16,1,3]","[""m"",""ɑ"",""ŋ""]",0
31,[7],"[""o""]",[237],"[""ɔː""]",0
32,"[2,11]","[""n"",""y""]",[41],"[""ɲ""]",0
33,[10],"[""u""]",[238],"[""uː""]",0
34,[19],"[""e""]",[239],"[""ɛː""]",0
