id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
4,[15],"[""े""]",[15],"[""eː""]",3462
10,[14],"[""ा""]",[14],"[""aː""]",2760
1,[3],"[""ह""]",[3],"[""ɦ""]",2672
14,[2],"[""क""]",[2],"[""k""]",2456
16,[16],"[""ी""]",[16],"[""iː""]",1957
24,[10],"[""र""]",[10],"[""ɾ""]",1611
2,[22],"[""ै""]",[21],"[""ɛː""]",1203
5,[6],"[""स""]",[6],"[""s""]",1169
11,[4],"[""म""]",[4],"[""m""]",1163
21,[21],"[""ो""]",[20],"[""oː""]",1152
3,[1],"[""न""]",[1],"[""n""]",1151
42,[34],"[""ं""]",[32],"[""◌̃""]",1127
9,[7],"[""त""]",[7],"[""t""]",1050
19,[24],"[""ि""]",[23],"[""ɪ""]",685
39,[5],"[""ल""]",[5],"[""l""]",613
38,[12],"[""ब""]",[12],"[""b""]",523
20,[11],"[""ज""]",[31],"[""dʒ""]",489
56,[13],"[""य""]",[13],"[""j""]",463
27,[2],"[""क""]","[2,8]","[""k"",""ə""]",447
25,[9],"[""प""]","[9,8]","[""p"",""ə""]",441
55,[20],"[""ए""]",[15],"[""eː""]",440
41,[17],"[""द""]",[17],"[""d""]",425
23,[25],"[""औ""]",[24],"[""ɔː""]",416
7,[23],"[""ु""]",[22],"[""ʊ""]",410
17,[19],"[""थ""]",[19],"[""tʰ""]",399
34,[3],"[""ह""]","[3,8]","[""ɦ"",""ə""]",395
18,[9],"[""प""]",[9],"[""p""]",378
57,[8],"[""अ""]",[8],"[""ə""]",349
43,[38],"[""उ""]",[22],"[""ʊ""]",325
28,[45],"[""ू""]",[36],"[""uː""]",321
32,[29],"[""व""]",[29],"[""ʋ""]",316
35,[10],"[""र""]","[10,8]","[""ɾ"",""ə""]",315
26,[18],"[""भ""]",[18],"[""bʱ""]",313
22,[1],"[""न""]","[1,8]","[""n"",""ə""]",293
33,[6],"[""स""]","[6,8]","[""s"",""ə""]",276
30,[12],"[""ब""]","[12,8]","[""b"",""ə""]",264
29,[31],"[""ँ""]",[32],"[""◌̃""]",263
66,[32],"[""आ""]",[14],"[""aː""]",235
50,[30],"[""ग""]",[30],"[""g""]",218
65,[30],"[""ग""]","[30,8]","[""g"",""ə""]",212
59,[29],"[""व""]","[29,8]","[""ʋ"",""ə""]",206
85,[44],"[""्""]",[39],"[""∅""]",195
13,[23],"[""ु""]",[36],"[""uː""]",180
15,[26],"[""ख""]",[26],"[""kʰ""]",180
31,[7],"[""त""]","[7,8]","[""t"",""ə""]",171
36,[27],"[""च""]","[7,27]","[""t"",""ʃ""]",164
64,[11],"[""ज""]","[31,8]","[""dʒ"",""ə""]",158
8,[28],"[""छ""]","[7,28]","[""t"",""ʃʰ""]",154
77,"[2,44]","[""क"",""्""]",[2],"[""k""]",149
44,[5],"[""ल""]","[5,8]","[""l"",""ə""]",143
49,[50],"[""इ""]",[23],"[""ɪ""]",135
53,[37],"[""ट""]",[35],"[""ʈ""]",133
54,[36],"[""ड़""]",[34],"[""ɽ""]",132
68,[39],"[""ई""]",[16],"[""iː""]",116
46,[13],"[""य""]","[13,8]","[""j"",""ə""]",109
45,[4],"[""म""]","[4,8]","[""m"",""ə""]",86
62,[49],"[""झ""]",[31],"[""dʒ""]",72
37,[47],"[""ज़""]",[11],"[""z""]",71
71,[17],"[""द""]","[17,8]","[""d"",""ə""]",68
69,[55],"[""फ""]",[46],"[""pʰ""]",60
61,[51],"[""श""]",[27],"[""ʃ""]",57
48,[42],"[""घ""]","[37,8]","[""ɡʱ"",""ə""]",55
63,[43],"[""ध""]","[38,8]","[""dʱ"",""ə""]",47
67,[40],"[""ऊ""]",[36],"[""uː""]",42
58,[33],"[""ठ""]",[33],"[""ʈʰ""]",40
40,[35],"[""ौ""]",[24],"[""ɔː""]",34
60,[54],"[""ष""]",[45],"[""ʂ""]",27
74,[41],"[""ओ""]",[20],"[""oː""]",26
88,[47],"[""ज़""]",[49],"[""zə""]",24
12,[43],"[""ध""]",[38],"[""dʱ""]",19
73,[55],"[""फ""]","[46,8]","[""pʰ"",""ə""]",17
79,"[7,44]","[""त"",""्""]",[7],"[""t""]",16
78,[37],"[""ट""]","[35,8]","[""ʈ"",""ə""]",12
87,[46],"[""ड""]",[40],"[""ɖ""]",10
52,[27],"[""च""]","[7,27,8]","[""t"",""ʃ"",""ə""]",5
81,"[37,44]","[""ट"",""्""]",[35],"[""ʈ""]",4
89,"[27,44,27]","[""च"",""्"",""च""]","[35,35,27]","[""ʈ"",""ʈ"",""ʃ""]",4
70,[28],"[""छ""]","[7,28,8]","[""t"",""ʃʰ"",""ə""]",2
86,[56],"[""ण""]",[47],"[""ɳ""]",1
75,[36],"[""ड़""]","[34,8]","[""ɽ"",""ə""]",0
80,"[30,44]","[""ग"",""्""]",[30],"[""g""]",0
90,"[9,44]","[""प"",""्""]",[9],"[""p""]",0
84,[46],"[""ड""]",[38],"[""dʱ""]",0
92,"[46,57]","[""ड"","" ़""]",[34],"[""ɽ""]",0
