id,letter_ids,letter_texts,allophone_ids,allophone_values_ipa,usage_count
4,[15],"[""े""]",[15],"[""eː""]",3354
1,[3],"[""ह""]",[3],"[""ɦ""]",2642
10,[14],"[""ा""]",[14],"[""aː""]",2580
14,[2],"[""क""]",[2],"[""k""]",2407
16,[16],"[""ी""]",[16],"[""iː""]",1850
24,[10],"[""र""]",[10],"[""ɾ""]",1506
2,[22],"[""ै""]",[21],"[""ɛː""]",1188
11,[4],"[""म""]",[4],"[""m""]",1131
3,[1],"[""न""]",[1],"[""n""]",1079
21,[21],"[""ो""]",[20],"[""oː""]",1056
42,[34],"[""ं""]",[32],"[""◌̃""]",1022
5,[6],"[""स""]",[6],"[""s""]",1005
9,[7],"[""त""]",[7],"[""t""]",950
19,[24],"[""ि""]",[23],"[""ɪ""]",616
39,[5],"[""ल""]",[5],"[""l""]",510
38,[12],"[""ब""]",[12],"[""b""]",459
55,[20],"[""ए""]",[15],"[""eː""]",439
27,[2],"[""क""]","[2,8]","[""k"",""ə""]",430
25,[9],"[""प""]","[9,8]","[""p"",""ə""]",429
56,[13],"[""य""]",[13],"[""j""]",423
23,[25],"[""औ""]",[24],"[""ɔː""]",415
20,[11],"[""ज""]",[31],"[""dʒ""]",390
7,[23],"[""ु""]",[22],"[""ʊ""]",389
17,[19],"[""थ""]",[19],"[""tʰ""]",384
34,[3],"[""ह""]","[3,8]","[""ɦ"",""ə""]",375
33,[6],"[""स""]","[6,8]","[""s"",""ə""]",372
18,[9],"[""प""]",[9],"[""p""]",371
41,[17],"[""द""]",[17],"[""d""]",368
35,[10],"[""र""]","[10,8]","[""ɾ"",""ə""]",320
57,[8],"[""अ""]",[8],"[""ə""]",315
43,[38],"[""उ""]",[22],"[""ʊ""]",309
28,[45],"[""ू""]",[36],"[""uː""]",300
30,[12],"[""ब""]","[12,8]","[""b"",""ə""]",297
26,[18],"[""भ""]",[18],"[""bʱ""]",289
22,[1],"[""न""]","[1,8]","[""n"",""ə""]",285
32,[29],"[""व""]",[29],"[""ʋ""]",280
29,[31],"[""ँ""]",[32],"[""◌̃""]",236
66,[32],"[""आ""]",[14],"[""aː""]",229
59,[29],"[""व""]","[29,8]","[""ʋ"",""ə""]",203
65,[30],"[""ग""]","[30,8]","[""g"",""ə""]",179
13,[23],"[""ु""]",[36],"[""uː""]",177
31,[7],"[""त""]","[7,8]","[""t"",""ə""]",167
36,[27],"[""च""]","[7,27]","[""t"",""ʃ""]",163
50,[30],"[""ग""]",[30],"[""g""]",162
15,[26],"[""ख""]",[26],"[""kʰ""]",158
8,[28],"[""छ""]","[7,28]","[""t"",""ʃʰ""]",155
77,"[2,44]","[""क"",""्""]",[2],"[""k""]",145
49,[50],"[""इ""]",[23],"[""ɪ""]",135
44,[5],"[""ल""]","[5,8]","[""l"",""ə""]",131
53,[37],"[""ट""]",[35],"[""ʈ""]",129
64,[11],"[""ज""]","[31,8]","[""dʒ"",""ə""]",120
54,[36],"[""ड़""]",[34],"[""ɽ""]",113
68,[39],"[""ई""]",[16],"[""iː""]",111
46,[13],"[""य""]","[13,8]","[""j"",""ə""]",109
45,[4],"[""म""]","[4,8]","[""m"",""ə""]",85
62,[49],"[""झ""]",[31],"[""dʒ""]",72
37,[47],"[""ज़""]",[11],"[""z""]",69
71,[17],"[""द""]","[17,8]","[""d"",""ə""]",65
69,[55],"[""फ""]",[46],"[""pʰ""]",60
48,[42],"[""घ""]","[37,8]","[""ɡʱ"",""ə""]",55
63,[43],"[""ध""]","[38,8]","[""dʱ"",""ə""]",43
67,[40],"[""ऊ""]",[36],"[""uː""]",40
58,[33],"[""ठ""]",[33],"[""ʈʰ""]",36
40,[35],"[""ौ""]",[24],"[""ɔː""]",34
60,[54],"[""ष""]",[45],"[""ʂ""]",27
74,[41],"[""ओ""]",[20],"[""oː""]",26
61,[51],"[""श""]",[27],"[""ʃ""]",23
73,[55],"[""फ""]","[46,8]","[""pʰ"",""ə""]",17
79,"[7,44]","[""त"",""्""]",[7],"[""t""]",16
12,[43],"[""ध""]",[38],"[""dʱ""]",14
78,[37],"[""ट""]","[35,8]","[""ʈ"",""ə""]",12
81,"[37,44]","[""ट"",""्""]",[35],"[""ʈ""]",4
70,[28],"[""छ""]","[7,28,8]","[""t"",""ʃʰ"",""ə""]",2
52,[27],"[""च""]","[7,27,8]","[""t"",""ʃ"",""ə""]",0
80,"[30,44]","[""ग"",""्""]",[30],"[""g""]",0
75,[36],"[""ड़""]","[34,8]","[""ɽ"",""ə""]",0
82,"[8,34,17,10]","[""अ"",""ं"",""द"",""र""]","[14,38,10]","[""aː"",""dʱ"",""ɾ""]",0
83,"[32,8,8]","[""आ"",""अ"",""अ""]","[31,31]","[""dʒ"",""dʒ""]",0
