id,text,diacritic,usage_count
1,न,false,3624
2,क,false,5329
3,ह,false,4381
4,म,false,2847
5,ल,false,2517
6,स,false,3233
7,त,false,3073
8,अ,false,649
9,प,false,2091
10,र,false,4627
11,ज,false,1446
12,ब,false,1960
13,य,false,1536
14,ा,true,7471
15,े,true,6285
16,ी,true,4182
17,द,false,1493
18,भ,false,608
19,थ,false,580
20,ए,false,648
21,ो,true,2476
22,ै,true,1568
23,ु,true,1620
24,ि,true,2326
25,औ,false,485
26,ख,false,790
27,च,false,998
28,छ,false,447
29,व,false,1143
30,ग,false,1392
31,ँ,true,765
32,आ,false,625
33,ठ,false,166
34,ं,true,2873
35,ौ,true,143
36,ड़,false,546
37,ट,false,953
38,उ,false,680
39,ई,false,360
40,ऊ,false,117
41,ओ,false,102
42,घ,false,253
43,ध,false,350
44,्,true,2297
45,ू,true,1006
46,ड,false,303
47,ज़,false,294
48,ग़,false,11
49,झ,false,192
50,इ,false,378
51,श,false,407
52,फ़,false,82
53,ढ,false,75
54,ष,false,159
55,फ,false,295
56,ण,false,38
57," ़",true,0
