id,value,symbol,word_ids,word_texts
25,0,०,[147],"[""शून्य""]"
1,1,१,[11],"[""एक""]"
2,2,२,[12],"[""दो""]"
3,3,३,[13],"[""तीन""]"
4,4,४,[16],"[""चार""]"
5,5,५,[23],"[""पांच""]"
6,6,६,[24],"[""छह""]"
7,7,७,[25],"[""सात""]"
8,8,८,[30],"[""आठ""]"
9,9,९,[31],"[""नौ""]"
10,10,१०,[35],"[""दस""]"
11,11,११,[37],"[""ग्यारह""]"
12,12,१२,[43],"[""बारह""]"
13,13,१३,[59],"[""तेरह""]"
14,14,१४,[66],"[""चौदह""]"
15,15,१५,[74],"[""पंद्रह""]"
16,16,१६,[75],"[""सोलह""]"
17,17,१७,[95],"[""सत्रह""]"
18,18,१८,[101],"[""अट्ठारह""]"
19,19,१९,[112],"[""उन्नीस""]"
20,20,२०,[113],"[""बीस""]"
21,21,२१,[120],"[""इक्कीस""]"
22,22,२२,[137],"[""बाईस""]"
23,23,२३,[138],"[""तेईस""]"
24,24,२४,[139],"[""चौबिस""]"
26,25,२५,[148],"[""पच्चीस""]"
27,26,२६,[155],"[""छब्बीस""]"
28,27,२७,[156],"[""सत्ताईस""]"
29,28,२८,[157],"[""अट्ठाईस""]"
30,29,२९,[163],"[""उनतीस""]"
31,30,३०,[167],"[""तीस""]"
32,31,३१,[179],"[""इकतीस""]"
33,32,३२,[186],"[""बत्तीस""]"
34,33,३३,[187],"[""तैंतीस""]"
35,34,३४,[188],"[""चौंतीस""]"
36,35,३५,[197],"[""पैंतीस""]"
37,36,३६,[198],"[""छत्तीस""]"
38,37,३७,[199],"[""सैंतीस""]"
39,38,३८,[214],"[""अड़तीस""]"
40,39,३९,[215],"[""उनतालीस""]"
41,40,४०,[221],"[""चालीस""]"
42,41,४१,[222],"[""इकतालीस""]"
43,42,४२,[223],"[""बयालीस""]"
44,43,४३,[234],"[""तैंतालीस""]"
45,44,४४,[235],"[""चौंतालीस""]"
46,45,४५,[236],"[""पैंतालीस""]"
47,46,४६,[245],"[""छियालीस""]"
48,47,४७,[246],"[""सैंतालीस""]"
49,48,४८,[253],"[""अड़तालीस""]"
50,49,४९,[254],"[""उनचास""]"
51,50,५०,[255],"[""पचास""]"
52,51,५१,[262],"[""इक्यावन""]"
53,52,५२,[263],"[""बावन""]"
54,53,५३,[264],"[""तिरेपन""]"
55,54,५४,[271],"[""चौवन""]"
56,55,५५,[272],"[""पचपन""]"
57,56,५६,[273],"[""छप्पन""]"
58,57,५७,[277],"[""सत्तावन""]"
59,58,५८,[284],"[""अट्ठावन""]"
60,59,५९,[287],"[""उनसठ""]"
61,60,६०,[291],"[""साठ""]"
62,61,६१,[294],"[""इकसठ""]"
63,62,६२,[296],"[""बासठ""]"
