id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
41,ɑ,A,,false,VOWEL,968
55,n,n,,false,CONSONANT,303
43,i,i,,false,VOWEL,270
46,m,m,,false,CONSONANT,208
76,w,w,,false,CONSONANT,207
73,k,k,,false,CONSONANT,180
45,u,u,,false,VOWEL,171
58,t,t,,false,CONSONANT,142
69,j,j,,false,CONSONANT,139
42,ɛ,E,,false,VOWEL,135
61,s,s,,false,CONSONANT,117
44,ɔ,O,,false,VOWEL,115
63,l,l,,false,CONSONANT,67
48,ɓ,b_<,,false,CONSONANT,62
77,h,h,,false,CONSONANT,46
62,ɾ,4,,false,CONSONANT,46
66,ʄ,j_<,,false,CONSONANT,41
52,f,f,,false,CONSONANT,35
57,ɗ,d_<,,false,CONSONANT,32
60,z,z,,false,CONSONANT,31
47,mb,mb,,false,CONSONANT,25
49,p,p,,false,CONSONANT,25
67,tʃ,tS,,false,CONSONANT,12
68,ʃ,S,,false,CONSONANT,12
72,ɠ,g_<,,false,CONSONANT,11
59,nz,nz,,false,CONSONANT,6
50,mv,mv,,false,CONSONANT,3
64,ɲ,J,,false,CONSONANT,3
56,nd,nd,,false,CONSONANT,2
51,v,v,,false,CONSONANT,1
71,ŋɡ,Nɡ,,false,CONSONANT,1
80,ˈ,"""",,false,,1
83,.,.,,false,,0
75,x,x,,false,CONSONANT,0
53,ð,D,,false,CONSONANT,0
70,ŋ,N,,false,CONSONANT,0
74,ɣ,G,,false,CONSONANT,0
65,ɲɟ,Jj\,,false,CONSONANT,0
54,θ,T,,false,CONSONANT,0
