id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
3,[27],"[""a""]",[41],"[""ɑ""]",373
7,[40],"[""n""]",[55],"[""n""]",193
2,[48],"[""w""]",[76],"[""w""]",151
1,[37],"[""k""]",[73],"[""k""]",99
11,[39],"[""m""]",[46],"[""m""]",24
8,[35],"[""i""]",[43],"[""iː""]",4
6,[43],"[""r""]",[62],"[""ɾ""]",3
9,[44],"[""s""]",[61],"[""s""]",3
10,[31],"[""e""]",[42],"[""ɛː""]",3
13,"[29,34]","[""c"",""h""]","[58,68]","[""t"",""ʃ""]",3
14,[46],"[""u""]",[84],"[""uː""]",3
5,[32],"[""f""]",[52],"[""f""]",0
12,[38],"[""l""]",[63],"[""l""]",0
