id,text,diacritic,usage_count
27,a,false,4616
35,i,false,2541
46,u,false,1590
40,n,false,1507
37,k,false,1419
39,m,false,1069
31,e,false,1008
48,w,false,905
41,o,false,800
45,t,false,707
38,l,false,673
34,h,false,628
44,s,false,568
49,y,false,564
28,b,false,381
43,r,false,351
50,z,false,343
30,d,false,313
33,g,false,261
42,p,false,260
36,j,false,253
32,f,false,183
29,c,false,131
47,v,false,113
116,M,false,89
117,N,false,85
121,S,false,85
125,W,false,76
104,A,false,72
114,K,false,60
123,U,false,53
111,H,false,52
122,T,false,43
105,B,false,33
119,P,false,25
115,L,false,23
109,F,false,20
106,C,false,17
112,I,false,17
113,J,false,17
120,R,false,17
126,Y,false,16
110,G,false,13
108,E,false,12
124,V,false,10
118,O,false,8
127,Z,false,4
107,D,false,2
