id,value,symbol,word_ids,word_texts
34,0,,[11],"[""sifuri""]"
11,1,,[12],"[""moja""]"
12,2,,[13],"[""mbili""]"
13,3,,[14],"[""tatu""]"
14,4,,[15],"[""nne""]"
15,5,,[16],"[""tano""]"
16,6,,[17],"[""sita""]"
17,7,,[18],"[""saba""]"
18,8,,[19],"[""nane""]"
19,9,,[20],"[""tisa""]"
31,10,,[602],"[""kumi""]"
35,11,,"[602,243,12]","[""kumi"",""na"",""moja""]"
37,12,,"[602,243,13]","[""kumi"",""na"",""mbili""]"
38,13,,"[602,243,14]","[""kumi"",""na"",""tatu""]"
39,14,,"[602,243,15]","[""kumi"",""na"",""nne""]"
40,15,,"[602,243,16]","[""kumi"",""na"",""tano""]"
41,16,,"[602,243,17]","[""kumi"",""na"",""sita""]"
42,17,,"[602,243,18]","[""kumi"",""na"",""saba""]"
43,18,,"[602,243,19]","[""kumi"",""na"",""nane""]"
44,19,,"[602,243,20]","[""kumi"",""na"",""tisa""]"
46,20,,[688],"[""ishirini""]"
45,21,,"[688,243,12]","[""ishirini"",""na"",""moja""]"
47,22,,"[688,243,13]","[""ishirini"",""na"",""mbili""]"
48,23,,"[688,243,14]","[""ishirini"",""na"",""tatu""]"
49,24,,"[688,243,15]","[""ishirini"",""na"",""nne""]"
50,25,,"[688,243,16]","[""ishirini"",""na"",""tano""]"
51,26,,"[688,243,17]","[""ishirini"",""na"",""sita""]"
52,27,,"[688,243,18]","[""ishirini"",""na"",""saba""]"
53,28,,"[688,243,19]","[""ishirini"",""na"",""nane""]"
54,29,,"[688,243,20]","[""ishirini"",""na"",""tisa""]"
55,30,,[689],"[""thelathini""]"
56,31,,"[689,243,12]","[""thelathini"",""na"",""moja""]"
57,32,,"[689,243,13]","[""thelathini"",""na"",""mbili""]"
58,33,,"[689,243,14]","[""thelathini"",""na"",""tatu""]"
59,34,,"[689,243,15]","[""thelathini"",""na"",""nne""]"
60,35,,"[689,243,16]","[""thelathini"",""na"",""tano""]"
61,36,,"[689,243,17]","[""thelathini"",""na"",""sita""]"
62,37,,"[689,243,18]","[""thelathini"",""na"",""saba""]"
63,38,,"[689,243,19]","[""thelathini"",""na"",""nane""]"
64,39,,"[689,243,20]","[""thelathini"",""na"",""tisa""]"
65,40,,[690],"[""arobaini""]"
66,41,,"[690,243,12]","[""arobaini"",""na"",""moja""]"
67,42,,"[690,243,13]","[""arobaini"",""na"",""mbili""]"
68,43,,"[690,243,14]","[""arobaini"",""na"",""tatu""]"
69,44,,"[690,243,15]","[""arobaini"",""na"",""nne""]"
70,45,,"[690,243,16]","[""arobaini"",""na"",""tano""]"
71,46,,"[690,243,17]","[""arobaini"",""na"",""sita""]"
72,47,,"[690,243,18]","[""arobaini"",""na"",""saba""]"
73,48,,"[690,243,19]","[""arobaini"",""na"",""nane""]"
74,49,,"[690,243,20]","[""arobaini"",""na"",""tisa""]"
75,50,,[691],"[""hamsini""]"
76,51,,"[691,243,12]","[""hamsini"",""na"",""moja""]"
77,52,,"[691,243,13]","[""hamsini"",""na"",""mbili""]"
78,53,,"[691,243,14]","[""hamsini"",""na"",""tatu""]"
79,54,,"[691,243,15]","[""hamsini"",""na"",""nne""]"
80,55,,"[691,243,16]","[""hamsini"",""na"",""tano""]"
81,56,,"[691,243,17]","[""hamsini"",""na"",""sita""]"
82,57,,"[691,243,18]","[""hamsini"",""na"",""saba""]"
83,58,,"[691,243,19]","[""hamsini"",""na"",""nane""]"
84,59,,"[691,243,20]","[""hamsini"",""na"",""tisa""]"
85,60,,[692],"[""sitini""]"
86,61,,"[692,243,12]","[""sitini"",""na"",""moja""]"
87,62,,"[692,243,13]","[""sitini"",""na"",""mbili""]"
88,63,,"[692,243,14]","[""sitini"",""na"",""tatu""]"
89,64,,"[692,243,15]","[""sitini"",""na"",""nne""]"
90,65,,"[692,243,16]","[""sitini"",""na"",""tano""]"
91,66,,"[692,243,17]","[""sitini"",""na"",""sita""]"
92,67,,"[692,243,18]","[""sitini"",""na"",""saba""]"
93,68,,"[692,243,19]","[""sitini"",""na"",""nane""]"
94,69,,"[692,243,20]","[""sitini"",""na"",""tisa""]"
95,70,,[693],"[""sabini""]"
96,71,,"[693,243,12]","[""sabini"",""na"",""moja""]"
97,72,,"[693,243,12]","[""sabini"",""na"",""moja""]"
98,73,,"[693,243,14]","[""sabini"",""na"",""tatu""]"
99,74,,"[693,243,15]","[""sabini"",""na"",""nne""]"
100,75,,"[693,243,16]","[""sabini"",""na"",""tano""]"
101,76,,"[693,243,17]","[""sabini"",""na"",""sita""]"
102,77,,"[693,243,18]","[""sabini"",""na"",""saba""]"
103,78,,"[693,243,19]","[""sabini"",""na"",""nane""]"
104,79,,"[693,243,20]","[""sabini"",""na"",""tisa""]"
105,80,,[694],"[""themanini""]"
106,81,,"[694,243,12]","[""themanini"",""na"",""moja""]"
107,82,,"[694,243,13]","[""themanini"",""na"",""mbili""]"
108,83,,"[694,243,14]","[""themanini"",""na"",""tatu""]"
109,84,,"[694,243,15]","[""themanini"",""na"",""nne""]"
110,85,,"[694,243,16]","[""themanini"",""na"",""tano""]"
111,86,,"[694,243,17]","[""themanini"",""na"",""sita""]"
112,87,,"[694,243,18]","[""themanini"",""na"",""saba""]"
113,88,,"[694,243,19]","[""themanini"",""na"",""nane""]"
114,89,,"[694,243,20]","[""themanini"",""na"",""tisa""]"
115,90,,[695],"[""tisini""]"
116,91,,"[695,243,12]","[""tisini"",""na"",""moja""]"
117,92,,"[695,243,13]","[""tisini"",""na"",""mbili""]"
118,93,,"[695,243,14]","[""tisini"",""na"",""tatu""]"
119,94,,"[695,243,15]","[""tisini"",""na"",""nne""]"
120,95,,"[695,243,16]","[""tisini"",""na"",""tano""]"
121,96,,"[695,243,17]","[""tisini"",""na"",""sita""]"
122,97,,"[695,243,18]","[""tisini"",""na"",""saba""]"
123,98,,"[695,243,19]","[""tisini"",""na"",""nane""]"
124,99,,"[695,243,20]","[""tisini"",""na"",""tisa""]"
125,100,,[696],"[""mia""]"
