id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
243,na,"[55,41]","[""n"",""ɑ""]",30,,PERFECT,,
245,ya,"[69,41]","[""j"",""ɑ""]",15,,NON_PHONEMIC,,
552,mfalme,"[46,52,41,63,41,46,42]","[""m"",""f"",""ɑ"",""l"",""ɑ"",""m"",""ɛ""]",13,NOUN,PERFECT,,
370,chakula,"[67,41,73,45,63,41]","[""tʃ"",""ɑ"",""k"",""u"",""l"",""ɑ""]",10,NOUN,HIGHLY_PHONEMIC,,
561,mtu,"[46,58,45]","[""m"",""t"",""u""]",10,NOUN,PERFECT,,
200,baba,"[48,41,48,41]","[""ɓ"",""ɑ"",""ɓ"",""ɑ""]",9,NOUN,PERFECT,,
214,huyu,"[77,45,69,45]","[""h"",""u"",""j"",""u""]",9,,PERFECT,,
199,mama,"[46,41,46,41]","[""m"",""ɑ"",""m"",""ɑ""]",9,NOUN,PERFECT,,
259,saa,"[61,41,41]","[""s"",""ɑ"",""ɑ""]",8,VERB,PERFECT,,
285,chini,"[67,43,55,43]","[""tʃ"",""i"",""n"",""i""]",7,VERB,PERFECT,,
644,mpira,"[46,49,43,62,41]","[""m"",""p"",""i"",""ɾ"",""ɑ""]",7,NOUN,PERFECT,,
569,usingizi,"[45,61,43,55,72,43,60,43]","[""u"",""s"",""i"",""n"",""ɠ"",""i"",""z"",""i""]",7,VERB,HIGHLY_PHONEMIC,,
247,ana,"[41,55,41]","[""ɑ"",""n"",""ɑ""]",6,VERB,PERFECT,,
500,bluu,"[48,63,45,45]","[""ɓ"",""l"",""u"",""u""]",6,NOUN,PERFECT,,
278,mamake,"[46,41,46,41,73,42]","[""m"",""ɑ"",""m"",""ɑ"",""k"",""ɛ""]",6,NOUN,PERFECT,,
502,mashua,"[46,41,68,45,41]","[""m"",""ɑ"",""ʃ"",""u"",""ɑ""]",6,NOUN,PERFECT,,
14,tatu,"[58,41,58,45]","[""t"",""ɑ"",""t"",""u""]",6,NOUN,PERFECT,,
580,kucheza,"[73,45,67,42,60,41]","[""k"",""u"",""tʃ"",""ɛ"",""z"",""ɑ""]",5,NOUN,PERFECT,,
215,lile,"[63,43,63,42]","[""l"",""i"",""l"",""ɛ""]",5,,PERFECT,,
246,sana,"[61,41,55,41]","[""s"",""ɑ"",""n"",""ɑ""]",5,,PERFECT,,
366,lori,"[63,44,62,43]","[""l"",""ɔ"",""ɾ"",""i""]",4,,PERFECT,,
642,macho,"[46,41,67,44]","[""m"",""ɑ"",""tʃ"",""ɔ""]",4,NOUN,PERFECT,,
208,mimi,"[46,43,46,43]","[""m"",""i"",""m"",""i""]",4,NOUN,PERFECT,,
12,moja,"[46,44,69,41]","[""m"",""ɔ"",""j"",""ɑ""]",4,NOUN,PERFECT,,
198,mtoto,"[46,58,44,58,44]","[""m"",""t"",""ɔ"",""t"",""ɔ""]",4,NOUN,PERFECT,,
536,nzuri,"[59,45,62,43]","[""nz"",""u"",""ɾ"",""i""]",4,VERB,PERFECT,,
18,saba,"[61,41,48,41]","[""s"",""ɑ"",""ɓ"",""ɑ""]",4,NOUN,PERFECT,,
209,wewe,"[76,42,76,42]","[""w"",""ɛ"",""w"",""ɛ""]",4,NOUN,PERFECT,,
269,yake,"[69,41,73,42]","[""j"",""ɑ"",""k"",""ɛ""]",4,NOUN,PERFECT,,
197,bibi,"[48,43,48,43]","[""ɓ"",""i"",""ɓ"",""i""]",3,NOUN,PERFECT,,
333,gari,"[72,41,62,43]","[""ɠ"",""ɑ"",""ɾ"",""i""]",3,NOUN,PERFECT,,
340,habari,"[77,41,48,41,62,43]","[""h"",""ɑ"",""ɓ"",""ɑ"",""ɾ"",""i""]",3,NOUN,PERFECT,,
280,ile,"[43,63,42]","[""i"",""l"",""ɛ""]",3,,PERFECT,,
543,mgonjwa,"[46,72,44,55,66,76,41]","[""m"",""ɠ"",""ɔ"",""n"",""ʄ"",""w"",""ɑ""]",3,ADJECTIVE,HIGHLY_PHONEMIC,,
295,mzee,"[46,60,42,42]","[""m"",""z"",""ɛ"",""ɛ""]",3,ADJECTIVE,PERFECT,,
648,nyumba,"[64,45,47,41]","[""ɲ"",""u"",""mb"",""ɑ""]",3,NOUN,PERFECT,,
302,pia,"[49,43,42]","[""p"",""i"",""ɛ""]",3,,PERFECT,,
517,siku,"[61,43,73,45]","[""s"",""i"",""k"",""u""]",3,NOUN,PERFECT,,
17,sita,"[61,43,58,41]","[""s"",""i"",""t"",""ɑ""]",3,NOUN,PERFECT,,
598,aina,"[41,43,55,41]","[""ɑ"",""i"",""n"",""ɑ""]",2,VERB,PERFECT,,
590,barabara,"[48,41,62,41,48,41,62,41]","[""ɓ"",""ɑ"",""ɾ"",""ɑ"",""ɓ"",""ɑ"",""ɾ"",""ɑ""]",2,NOUN,PERFECT,,
514,baridi,"[48,41,62,43,57,43]","[""ɓ"",""ɑ"",""ɾ"",""i"",""ɗ"",""i""]",2,ADJECTIVE,PERFECT,,
196,dogo,"[57,44,72,44]","[""ɗ"",""ɔ"",""ɠ"",""ɔ""]",2,ADJECTIVE,PERFECT,,
341,hadithi,"[77,41,57,43,58,77,43]","[""h"",""ɑ"",""ɗ"",""i"",""t"",""h"",""i""]",2,NOUN,PERFECT,,
216,hapa,"[77,41,49,41]","[""h"",""ɑ"",""p"",""ɑ""]",2,VERB,PERFECT,,
354,jogoo,"[66,44,72,44,44]","[""ʄ"",""ɔ"",""ɠ"",""ɔ"",""ɔ""]",2,NOUN,PERFECT,,
260,kali,"[73,41,63,43]","[""k"",""ɑ"",""l"",""i""]",2,,PERFECT,,
290,karibu,"[73,41,62,43,48,45]","[""k"",""ɑ"",""ɾ"",""i"",""ɓ"",""u""]",2,VERB,PERFECT,,
195,kubwa,"[73,45,48,76,41]","[""k"",""u"",""ɓ"",""w"",""ɑ""]",2,VERB,PERFECT,,
602,kumi,"[73,45,46,43]","[""k"",""u"",""m"",""i""]",2,NOUN,PERFECT,,
224,la,"[63,41]","[""l"",""ɑ""]",2,,PERFECT,,
572,mafuta,"[46,41,52,45,58,41]","[""m"",""ɑ"",""f"",""u"",""t"",""ɑ""]",2,ADJECTIVE,PERFECT,,
240,maji,"[46,41,66,43]","[""m"",""ɑ"",""ʄ"",""i""]",2,NOUN,PERFECT,,
289,mawili,"[46,41,76,43,63,43]","[""m"",""ɑ"",""w"",""i"",""l"",""i""]",2,,PERFECT,,
221,mguu,"[46,72,45,45]","[""m"",""ɠ"",""u"",""u""]",2,NOUN,PERFECT,,
525,miguu,"[46,43,72,45,45]","[""m"",""i"",""ɠ"",""u"",""u""]",2,NOUN,PERFECT,,
242,mto,"[46,58,44]","[""m"",""t"",""ɔ""]",2,NOUN,PERFECT,,
547,ndege,"[56,42,72,42]","[""nd"",""ɛ"",""ɠ"",""ɛ""]",2,VERB,PERFECT,,
