id,content_type,content_license,attribution_url,word_id,title,transcription,download_url,audio_format
1,audio/wav,CREATIVE_COMMONS_CC_BY,"http://fil.elimu.ai",,"mama","mama","/audio/1.wav",WAV
2,audio/mpeg,null,"null",,"ang","ang","/audio/2.mp3",MP3
3,audio/mpeg,null,"null",,"sa","sa","/audio/3.mp3",MP3
4,audio/mpeg,null,"null",,"ng","ng","/audio/4.mp3",MP3
5,audio/mpeg,null,"null",,"na","na","/audio/5.mp3",MP3
6,audio/mpeg,null,"null",,"ay","ay","/audio/6.mp3",MP3
7,audio/mpeg,null,"null",,"word-215","agad","/audio/7.mp3",MP3
8,audio/mpeg,null,"null",,"word-230","aking","/audio/8.mp3",MP3
9,audio/mpeg,null,"null",,"word-319","aklat","/audio/9.mp3",MP3
10,audio/mpeg,null,"null",,"word-14","ako","/audio/10.mp3",MP3
11,audio/mpeg,null,"null",,"word-200","alam","/audio/11.mp3",MP3
12,audio/mpeg,null,"null",,"word-425","amin","/audio/12.mp3",MP3
13,audio/mpeg,null,"null",,"storybook-2-ch-1-par-1","Ngayong araw kami ay maraming gagawin. Lahat kami  ay tutulong!","/audio/13.mp3",MP3
14,audio/mpeg,null,"null",,"storybook-2-ch-2-par-1","Nakita ko si Nanay na tumutulong.","/audio/14.mp3",MP3
15,audio/mpeg,null,"null",,"storybook-2-ch-3-par-1","Nakita ko si tatay na tumutulong.","/audio/15.mp3",MP3
16,audio/mpeg,null,"null",,"storybook-2-ch-4-par-1","Nakita naming tumutulong si kuya.","/audio/16.mp3",MP3
17,audio/mpeg,null,"null",,"storybook-2-ch-5-par-1","Nakita kong tumutulong si Lola.","/audio/17.mp3",MP3
18,audio/mpeg,null,"null",,"storybook-2-ch-6-par-1","Nakita kong tumutulong si Lolo.","/audio/18.mp3",MP3
19,audio/mpeg,null,"null",,"storybook-2-ch-7-par-1","Nakito kong tumutulong si Tito.","/audio/19.mp3",MP3
20,audio/mpeg,null,"null",,"storybook-2-ch-8-par-1","Ngayong araw ay kaarawan ni Ate.","/audio/20.mp3",MP3
21,audio/mpeg,null,"null",,"storybook-2-ch-8-par-2","At tumulong kaming lahat!","/audio/21.mp3",MP3
23,audio/mpeg,null,"null",,"word-83","sero","/audio/23.mp3",MP3
24,audio/mpeg,null,"null",,"word-424","aming","/audio/24.mp3",MP3
25,audio/mpeg,null,"null",,"word-45","anak","/audio/25.mp3",MP3
26,audio/mpeg,null,"null",,"word-35","anim","/audio/26.mp3",MP3
27,audio/mpeg,null,"null",,"word-238","animnapu","/audio/27.mp3",MP3
28,audio/mpeg,null,"null",,"word-239","animnapu't","/audio/28.mp3",MP3
29,audio/mpeg,null,"null",,"word-356","anong","/audio/29.mp3",MP3
30,audio/mpeg,null,"null",,"word-29","apat","/audio/30.mp3",MP3
31,audio/mpeg,null,"null",,"word-195","apatnapu","/audio/31.mp3",MP3
32,audio/mpeg,null,"null",,"word_apatnapu't","apatnapu't","/audio/32.mp3",MP3
33,audio/mpeg,null,"null",,"word_asno","asno","/audio/33.mp3",MP3
34,audio/mpeg,null,"null",,"word_aso","aso","/audio/34.mp3",MP3
35,audio/mpeg,null,"null",,"word_ate","ate","/audio/35.mp3",MP3
36,audio/mpeg,null,"null",,"word_ayaw","ayaw","/audio/36.mp3",MP3
37,audio/mpeg,null,"null",,"word_baboy","baboy","/audio/37.mp3",MP3
38,audio/mpeg,null,"null",,"word_bag","bag","/audio/38.mp3",MP3
39,audio/mpeg,null,"null",,"word_bagong","bagong","/audio/39.mp3",MP3
40,audio/mpeg,null,"null",,"word_bahay","bahay","/audio/40.mp3",MP3
41,audio/mpeg,null,"null",,"word_bakal","bakal","/audio/41.mp3",MP3
42,audio/mpeg,null,"null",,"word_balon","balon","/audio/42.mp3",MP3
43,audio/mpeg,null,"null",,"word_bang","bang","/audio/43.mp3",MP3
44,audio/mpeg,null,"null",,"word_bata","bata","/audio/44.mp3",MP3
45,audio/mpeg,null,"null",,"word_batang","batang","/audio/45.mp3",MP3
46,audio/mpeg,null,"null",,"word_batubato","batubato","/audio/46.mp3",MP3
47,audio/mpeg,null,"null",,"word_beses","beses","/audio/47.mp3",MP3
48,audio/mpeg,null,"null",,"word_bibe","bibe","/audio/48.mp3",MP3
49,audio/mpeg,null,"null",,"word_bibitawan","bibitawan","/audio/49.mp3",MP3
50,audio/mpeg,null,"null",,"word_bigas","bigas","/audio/50.mp3",MP3
51,audio/mpeg,null,"null",,"word_bilangin","bilangin","/audio/51.mp3",MP3
52,audio/mpeg,null,"null",,"word_binalik","binalik","/audio/52.mp3",MP3
53,audio/mpeg,null,"null",,"word_binibitawan","binibitawan","/audio/53.mp3",MP3
54,audio/mpeg,null,"null",,"word_binigyan","binigyan","/audio/54.mp3",MP3
55,audio/mpeg,null,"null",,"word_binilang","binilang","/audio/55.mp3",MP3
56,audio/mpeg,null,"null",,"word_binitawan","binitawan","/audio/56.mp3",MP3
57,audio/mpeg,null,"null",,"word_binti","binti","/audio/57.mp3",MP3
58,audio/mpeg,null,"null",,"word_bitawan","bitawan","/audio/58.mp3",MP3
59,audio/mpeg,null,"null",,"word_bituin","bituin","/audio/59.mp3",MP3
60,audio/mpeg,null,"null",,"word_bola","bola","/audio/60.mp3",MP3
61,audio/mpeg,null,"null",,"word_bubuyog","bubuyog","/audio/61.mp3",MP3
62,audio/mpeg,null,"null",,"word_bulaklak","bulaklak","/audio/62.mp3",MP3
63,audio/mpeg,null,"null",,"word_bulate","bulate","/audio/63.mp3",MP3
64,audio/mpeg,null,"null",,"word_bumalik","bumalik","/audio/64.mp3",MP3
65,audio/mpeg,null,"null",,"word_buong","buong","/audio/65.mp3",MP3
66,audio/mpeg,null,"null",,"word_buwan","buwan","/audio/66.mp3",MP3
67,audio/mpeg,null,"null",,"word_daan","daan","/audio/67.mp3",MP3
68,audio/mpeg,null,"null",,"word_dagat","dagat","/audio/68.mp3",MP3
69,audio/mpeg,null,"null",,"word_dahil","dahil","/audio/69.mp3",MP3
70,audio/mpeg,null,"null",,"word_dalawa","dalawa","/audio/70.mp3",MP3
71,audio/mpeg,null,"null",,"word_dalawampu","dalawampu","/audio/71.mp3",MP3
72,audio/mpeg,null,"null",,"word_dalawampu't","dalawampu't","/audio/72.mp3",MP3
73,audio/mpeg,null,"null",,"word_dalawang","dalawang","/audio/73.mp3",MP3
74,audio/mpeg,null,"null",,"word_damit","damit","/audio/74.mp3",MP3
75,audio/mpeg,null,"null",,"word_dapat","dapat","/audio/75.mp3",MP3
76,audio/mpeg,null,"null",,"word_di","di","/audio/76.mp3",MP3
77,audio/mpeg,null,"null",,"word_din","din","/audio/77.mp3",MP3
78,audio/mpeg,null,"null",,"word_dito","dito","/audio/78.mp3",MP3
79,audio/mpeg,null,"null",,"word_doon","doon","/audio/79.mp3",MP3
80,audio/mpeg,null,"null",,"word_dulas","dulas","/audio/80.mp3",MP3
81,audio/mpeg,null,"null",,"word_dumulas","dumulas","/audio/81.mp3",MP3
82,audio/mpeg,null,"null",,"word_dumungaw","dumungaw","/audio/82.mp3",MP3
83,audio/mpeg,null,"null",,"word_dyaket","dyaket","/audio/83.mp3",MP3
84,audio/mpeg,null,"null",,"word_elepante","elepante","/audio/84.mp3",MP3
85,audio/mpeg,null,"null",,"word_gaano","gaano","/audio/85.mp3",MP3
86,audio/mpeg,null,"null",,"word_enerhiya","enerhiya","/audio/86.mp3",MP3
87,audio/mpeg,null,"null",,"word_gabi","gabi","/audio/87.mp3",MP3
88,audio/mpeg,null,"null",,"word_gagawin","gagawin","/audio/88.mp3",MP3
89,audio/mpeg,null,"null",,"word_gamit","gamit","/audio/89.mp3",MP3
90,audio/mpeg,null,"null",,"word_gawin","gawin","/audio/90.mp3",MP3
91,audio/mpeg,null,"null",,"word_gayahin","gayahin","/audio/91.mp3",MP3
