id,text,diacritic,usage_count
1,a,false,12918
2,n,false,7129
3,i,false,5055
4,g,false,4782
5,s,false,2503
6,t,false,2487
7,o,false,2420
9,k,false,2164
8,l,false,2132
10,u,false,2067
13,m,false,1949
11,y,false,1665
12,p,false,1399
15,b,false,1225
14,r,false,989
17,d,false,793
16,h,false,783
19,e,false,645
20,w,false,548
18,A,false,353
22,N,false,338
23,S,false,264
29,M,false,202
21,P,false,173
30,T,false,168
24,H,false,163
26,K,false,129
28,I,false,127
37,G,false,94
32,B,false,87
42,R,false,62
31,W,false,62
25,U,false,61
38,L,false,57
27,O,false,51
40,D,false,45
34,c,false,43
33,E,false,33
43,v,false,28
39,C,false,21
49,Z,false,18
44,J,false,13
35,j,false,11
48,Y,false,9
36,F,false,7
41,f,false,7
46,V,false,2
51,x,false,1
52,z,false,1
45,Q,false,0
47,X,false,0
50,q,false,0
53,Ñ,false,0
54,ñ,false,0
