id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
1,ɑ,A,,false,VOWEL,2045273
2,s,s,,false,CONSONANT,110476
3,ŋ,N,,false,CONSONANT,116595
4,iː,i,,false,VOWEL,53622
5,n,n,,false,CONSONANT,249165
6,ɔ,O,,false,VOWEL,77034
7,t,t,,false,CONSONANT,103499
8,ː,:,,false,,0
9,p,p,,false,CONSONANT,38793
10,j,j,,false,CONSONANT,26848
11,u,u,,false,VOWEL,38325
12,r,r,,false,CONSONANT,12771
13,l,l,,false,CONSONANT,74655
14,ɪ,I,,false,VOWEL,142154
15,k,k,,false,CONSONANT,71060
16,m,m,,false,CONSONANT,50246
17,d,d,,false,CONSONANT,10416
18,ˈ,,,false,,0
19,h,h,,false,CONSONANT,8587
20,b,b,,false,CONSONANT,39639
21,ɛ,E,,false,VOWEL,1888
22,g,g,,false,CONSONANT,14994
23,w,w,,false,CONSONANT,5668
24,ʃ,S,,false,CONSONANT,518
25,ɑɪ,AI,,false,VOWEL,0
26,z,z,,false,CONSONANT,0
27,.,.,,false,,0
28,r̩,r_=,,false,CONSONANT,0
29,ʔ,?,,false,VOWEL,0
30,aʊ,aU,,false,VOWEL,0
31,dʒ,dZ,,false,CONSONANT,0
32,f,f,,false,CONSONANT,0
33,tʃ,tS,,false,CONSONANT,24
34,v,v,,false,CONSONANT,0
35,æ,{,,false,VOWEL,0
36,ð,D,,false,CONSONANT,0
37,ɔɪ,OI,,false,VOWEL,0
38,ə,@,,false,VOWEL,300
39,əʊ,@U,,false,VOWEL,0
40,ɛɪ,EI,,false,VOWEL,0
41,ɲ,J,,false,CONSONANT,41
42,ɾ,4,,false,CONSONANT,0
43,ʊ,U,,false,VOWEL,0
44,ʌ,V,,false,VOWEL,0
45,ʒ,Z,,false,CONSONANT,0
46,ˌ,%,,false,,0
47,θ,T,,false,CONSONANT,0
236,ɑː,A:,,false,VOWEL,53640
237,ɔː,O:,,false,VOWEL,1518
238,uː,u:,,false,VOWEL,1727
239,ɛː,E:,,false,VOWEL,84
