id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
1,ang,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",749,,HIGHLY_NON_PHONEMIC,,
2,ay,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""j""],""id"":3,""letters"":[""y""],""usageCount"":839}]",312,,PERFECT,,
3,na,"[{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743}]",420,,PERFECT,,
4,sa,"[{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743}]",533,,PERFECT,,
5,at,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067}]",277,,PERFECT,,
6,si,"[{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993}]",218,,,,
7,aso,"[{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":894},{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",52,NOUN,,,
8,ni,"[{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993}]",229,,,,
9,pusa,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""uː""],""id"":33,""letters"":[""u""],""usageCount"":157},{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743}]",45,NOUN,,,
10,isang,"[{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993},{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",111,NUMBER,,,
11,paruparo,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":387},{""sounds"":[""u""],""id"":11,""letters"":[""u""],""usageCount"":525},{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":387},{""sounds"":[""ɔː""],""id"":31,""letters"":[""o""],""usageCount"":138}]",31,NOUN,,,
12,sila,"[{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1258},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":894}]",57,,,,
13,hindi,"[{""sounds"":[""h""],""id"":13,""letters"":[""h""],""usageCount"":277},{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1258},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""d""],""id"":15,""letters"":[""d""],""usageCount"":336},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993}]",124,,,,
14,ako,"[{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":935},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",84,PRONOUN,PERFECT,,
15,puno,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""uː""],""id"":33,""letters"":[""u""],""usageCount"":157},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",42,NOUN,PERFECT,,
16,pero,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""ə""],""id"":22,""letters"":[""e""],""usageCount"":60},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":387},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",23,,PERFECT,,
17,batubato,"[{""sounds"":[""b""],""id"":4,""letters"":[""b""],""usageCount"":543},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""u""],""id"":11,""letters"":[""u""],""usageCount"":525},{""sounds"":[""b""],""id"":4,""letters"":[""b""],""usageCount"":543},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",9,NOUN,,,
18,sino,"[{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",15,,,,
19,ibon,"[{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993},{""sounds"":[""b""],""id"":4,""letters"":[""b""],""usageCount"":543},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958}]",10,NOUN,,,
20,lahat,[],0,,PERFECT,,
21,nakita,"[{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":935},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743}]",24,VERB,,106,makita
22,para,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":387},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743}]",43,,PERFECT,,
23,siya,"[{""sounds"":[""ʃ""],""id"":24,""letters"":[""s"",""i"",""y""],""usageCount"":129},{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":894}]",103,PRONOUN,,,
24,ko,"[{""sounds"":[""k""],""id"":17,""letters"":[""k""],""usageCount"":935},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",70,PRONOUN,PERFECT,,
25,tigre,[],0,NOUN,PERFECT,,
26,araw,"[{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":894},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":387},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""w""],""id"":19,""letters"":[""w""],""usageCount"":218}]",49,NOUN,PERFECT,,
27,damit,"[{""sounds"":[""d""],""id"":15,""letters"":[""d""],""usageCount"":336},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":588},{""sounds"":[""iː""],""id"":8,""letters"":[""i""],""usageCount"":993},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067}]",12,NOUN,,,
28,tumutulong,"[{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":588},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""uː""],""id"":33,""letters"":[""u""],""usageCount"":157},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",6,,,44,tumulong
29,apat,"[{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":894},{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067}]",5,NUMBER,,,
30,dalawa,"[{""sounds"":[""d""],""id"":15,""letters"":[""d""],""usageCount"":336},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""w""],""id"":19,""letters"":[""w""],""usageCount"":218},{""sounds"":[""ɑː""],""id"":27,""letters"":[""a""],""usageCount"":894}]",7,NUMBER,,,
