id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
1,🐸,6.0,1.0,[3],"[""กบ""]"
2,🗡️,7.0,1.0,[4],"[""มีด""]"
3,🖊️,7.0,1.0,[5],"[""ปากกา""]"
4,🍬,6.0,1.0,[8],"[""หวาน""]"
5,🐒,6.0,1.0,[10],"[""ลิง""]"
6,🍽️,7.0,1.0,[11],"[""จาน""]"
7,🐃,6.0,1.0,[12],"[""ควาย""]"
8,🐟,6.0,1.0,[13],"[""ปลา""]"
9,🎖️,7.0,1.0,[14],"[""ทหาร""]"
10,🔫,6.0,1.0,[14],"[""ทหาร""]"
11,🚩,6.0,1.0,[15],"[""ธง""]"
12,🍯,6.0,1.0,[8],"[""หวาน""]"
13,👶,6.0,1.0,[18],"[""น่ารัก""]"
14,✝️,1.1,1.0,[20],"[""ศาสนา""]"
15,🕌,8.0,1.0,[20],"[""ศาสนา""]"
16,🤧,9.0,3.0,[21],"[""จาม""]"
17,⭐,5.1,1.0,[23],"[""ดาว""]"
18,🥚,9.0,3.0,[24],"[""ไข่""]"
19,🍳,6.0,1.0,[24],"[""ไข่""]"
20,🦀,8.0,1.0,[26],"[""ปู""]"
21,🌿,6.0,1.0,[27],"[""ยา""]"
22,💤,6.0,1.0,[29],"[""นอน""]"
23,😴,6.1,1.0,[29],"[""นอน""]"
24,🛏️,7.0,1.0,[29],"[""นอน""]"
25,🚶,6.0,1.0,[30],"[""ไป""]"
26,⌚,1.1,1.0,[32],"[""นาที""]"
