id,content_type,content_license,attribution_url,title,cid,download_url,image_format
1,image/jpg,,,storybook-1-cover,,/image/1_r1.jpg,JPG
2,image/jpg,,,storybook-1-ch-1,,/image/2_r1.jpg,JPG
3,image/jpg,,,storybook-1-ch-2,,/image/3_r1.jpg,JPG
4,image/jpg,,,storybook-1-ch-3,,/image/4_r1.jpg,JPG
5,image/jpg,,,storybook-1-ch-4,,/image/5_r1.jpg,JPG
6,image/jpg,,,storybook-1-ch-5,,/image/6_r1.jpg,JPG
7,image/jpg,,,storybook-1-ch-6,,/image/7_r1.jpg,JPG
8,image/jpg,,,storybook-1-ch-7,,/image/8_r1.jpg,JPG
9,image/jpg,,,storybook-1-ch-8,,/image/9_r1.jpg,JPG
10,image/jpg,,,storybook-1-ch-9,,/image/10_r1.jpg,JPG
11,image/jpg,,,storybook-1-ch-10,,/image/11_r1.jpg,JPG
12,image/jpg,,,storybook-1-ch-11,,/image/12_r1.jpg,JPG
13,image/jpg,,,storybook-1-ch-12,,/image/13_r1.jpg,JPG
