id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
10,aː,a:,,false,VOWEL,0
1,b,b,,false,CONSONANT,0
5,d,d,,false,CONSONANT,0
8,f,f,,false,CONSONANT,0
15,h,h,,false,CONSONANT,0
13,iː,i:,,false,VOWEL,0
3,k,k,,false,CONSONANT,0
9,m,m,,false,CONSONANT,0
7,n,n,,false,CONSONANT,0
2,p,p,,false,CONSONANT,0
18,pʰ,p_h,,false,CONSONANT,0
6,t,t,,false,CONSONANT,0
14,uː,u:,,false,VOWEL,0
16,w,w,,false,CONSONANT,0
11,y,y,,false,CONSONANT,0
4,ŋ,N,,false,CONSONANT,0
12,ɔ,O,,false,VOWEL,0
17,ɛː,E:,,false,VOWEL,0
