id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
9,[8],"[""ے""]",[8],"[""ɛː""]",221
6,[4],"[""ک""]",[4],"[""k""]",218
8,[9],"[""س""]",[9],"[""s""]",128
1,[10],"[""ن""]",[10],"[""n""]",82
5,[3],"[""ا""]",[3],"[""ɑː""]",68
18,[1],"[""ی""]",[1],"[""j""]",54
11,[7],"[""و""]",[7],"[""ʋ""]",54
10,[6],"[""ہ""]",[6],"[""ɦ""]",31
19,[12],"[""گ""]",[20],"[""g""]",21
20,[11],"[""ر""]",[19],"[""r""]",21
4,[10],"[""ن""]",[13],"[""ŋ""]",21
3,[10],"[""ن""]",[12],"[""ɳ""]",0
12,[6],"[""ہ""]",[3],"[""ɑː""]",0
13,[6],"[""ہ""]",[14],"[""eː""]",0
15,[7],"[""و""]",[16],"[""ʊ""]",0
16,[7],"[""و""]",[17],"[""oː""]",0
17,[7],"[""و""]",[18],"[""ɔː""]",0
2,[10],"[""ن""]",[11],"[""ɲ""]",0
14,[7],"[""و""]",[15],"[""uː""]",0
