id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
10,ɪ,I,,false,VOWEL,11
4,l,l,,false,CONSONANT,5
12,n,n,,false,CONSONANT,5
3,m,m,,false,CONSONANT,4
9,iː,i:,,false,VOWEL,3
11,p,p,,false,CONSONANT,3
8,s,S,,false,CONSONANT,3
5,ɔ,O,,false,VOWEL,3
7,ɛ,E,,false,VOWEL,3
15,a,a,,false,VOWEL,2
17,aː,a:,,false,VOWEL,2
16,z,z,,false,CONSONANT,2
22,b,b,,false,CONSONANT,1
23,mʱ,m_h\,,false,CONSONANT,1
6,oː,o:,,false,VOWEL,1
1,u,u,,false,VOWEL,1
29,b̥ʱ,bh,,false,CONSONANT,0
20,d,d,,false,CONSONANT,0
13,eː,e:,,false,VOWEL,0
30,f,f,,false,CONSONANT,0
19,h,h,,false,CONSONANT,0
25,k,k,,false,CONSONANT,0
26,kʰ,k_h,,false,CONSONANT,0
21,k͡ǃ,k!\,,false,CONSONANT,0
18,pʰ,p_h,,false,CONSONANT,0
27,t',t,,false,CONSONANT,0
2,uː,u:,,false,VOWEL,0
31,v,v,,false,CONSONANT,0
24,w,w,,false,CONSONANT,0
28,ŋ,ng,,false,CONSONANT,0
14,ʄ,j_<,,false,CONSONANT,0
