id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
22,❤️,1.1,1.0,[17],"[""abomvu""]"
10,🌊,6.0,1.0,[4],"[""amanzi""]"
5,🌳,6.0,1.0,[],[]
20,🍎,6.0,1.0,[17],"[""abomvu""]"
11,🎁,6.0,1.0,[5],"[""mpho""]"
15,🏫,6.0,1.0,"[11,16]","[""isikolo"",""esikolweni""]"
6,🐊,6.0,1.0,[],[]
9,🐕,6.0,1.0,[3],"[""inja""]"
1,🐝,6.0,1.0,[],[]
8,🐞,6.0,1.0,[],[]
4,🐦,6.0,1.0,[],[]
2,👄,6.0,1.0,[1],"[""umlomo""]"
18,👨,6.0,1.0,[13],"[""umntu""]"
14,👩,6.0,1.0,"[13,15]","[""umntu"",""mama""]"
21,🔴,6.0,1.0,[17],"[""abomvu""]"
19,🤗,8.0,1.0,[7],"[""mhlobo""]"
12,🥚,9.0,3.0,[6],"[""iqanda""]"
13,🦋,9.0,3.0,[14],"[""amaphiko""]"
3,🦏,9.0,3.0,[],[]
16,🧑,10.0,5.0,[],[]
17,🧕,10.0,5.0,[],[]
7,🪞,13.0,13.0,[],[]
