id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
14,[11],"[""a""]",[15],"[""a""]",109
23,[18],"[""k""]",[25],"[""k""]",92
1,[1],"[""u""]",[1],"[""u""]",85
4,[1],"[""u""]",[2],"[""uː""]",80
3,[3],"[""l""]",[4],"[""l""]",52
20,[16],"[""b""]",[22],"[""b""]",48
9,[7],"[""i""]",[10],"[""ɪ""]",37
2,[2],"[""m""]",[3],"[""m""]",34
24,"[18,13]","[""k"",""h""]",[26],"[""kʰ""]",32
5,[4],"[""o""]",[5],"[""ɔ""]",29
7,[5],"[""e""]",[7],"[""ɛ""]",25
12,[9],"[""n""]",[12],"[""n""]",23
10,[7],"[""i""]",[9],"[""iː""]",22
8,[6],"[""s""]",[8],"[""s""]",13
17,"[8,13]","[""p"",""h""]",[18],"[""pʰ""]",12
15,[12],"[""z""]",[16],"[""z""]",10
25,[19],"[""t""]",[27],"[""t'""]",9
22,[17],"[""w""]",[24],"[""w""]",9
6,[4],"[""o""]",[6],"[""oː""]",7
16,[11],"[""a""]",[17],"[""aː""]",6
21,"[2,13]","[""m"",""h""]",[23],"[""mʱ""]",4
28,[22],"[""y""]",[32],"[""j""]",3
27,[21],"[""v""]",[31],"[""v""]",3
11,[8],"[""p""]",[11],"[""p""]",3
29,"[19,13]","[""t"",""h""]",[33],"[""tʰ""]",2
32,"[16,13]","[""b"",""h""]",[29],"[""b̥ʱ""]",1
31,[23],"[""x""]",[34],"[""x""]",1
30,"[23,13]","[""x"",""h""]","[34,19]","[""x"",""h""]",1
33,"[6,13]","[""s"",""h""]",[35],"[""ʃ""]",1
13,[10],"[""j""]",[14],"[""ʄ""]",1
26,[20],"[""f""]",[30],"[""f""]",0
18,[14],"[""d""]",[20],"[""d""]",0
19,[15],"[""q""]",[21],"[""k͡ǃ""]",0
