id,letter_ids,letter_texts,allophone_ids,allophone_values_ipa,usage_count
14,[11],"[""a""]",[15],"[""a""]",103
23,[18],"[""k""]",[25],"[""k""]",92
1,[1],"[""u""]",[1],"[""u""]",80
4,[1],"[""u""]",[2],"[""uː""]",79
3,[3],"[""l""]",[4],"[""l""]",49
20,[16],"[""b""]",[22],"[""b""]",44
24,"[18,13]","[""k"",""h""]",[26],"[""kʰ""]",32
2,[2],"[""m""]",[3],"[""m""]",30
9,[7],"[""i""]",[10],"[""ɪ""]",29
5,[4],"[""o""]",[5],"[""ɔ""]",26
7,[5],"[""e""]",[7],"[""ɛ""]",19
10,[7],"[""i""]",[9],"[""iː""]",17
12,[9],"[""n""]",[12],"[""n""]",15
17,"[8,13]","[""p"",""h""]",[18],"[""pʰ""]",12
8,[6],"[""s""]",[8],"[""s""]",11
22,[17],"[""w""]",[24],"[""w""]",9
25,[19],"[""t""]",[27],"[""t'""]",7
16,[11],"[""a""]",[17],"[""aː""]",6
21,"[2,13]","[""m"",""h""]",[23],"[""mʱ""]",4
15,[12],"[""z""]",[16],"[""z""]",4
6,[4],"[""o""]",[6],"[""oː""]",4
11,[8],"[""p""]",[11],"[""p""]",3
13,[10],"[""j""]",[14],"[""ʄ""]",1
26,[20],"[""f""]",[30],"[""f""]",0
18,[14],"[""d""]",[20],"[""d""]",0
19,[15],"[""q""]",[21],"[""k͡ǃ""]",0
27,[21],"[""v""]",[31],"[""v""]",0
