id,text,sound_ids,sound_values_ipa,diacritic,usage_count
11,a,[15],"[""a""]",false,4376
7,i,[10],"[""ɪ""]",false,2780
9,n,[12],"[""n""]",false,2669
5,e,[7],"[""ɛ""]",false,2616
1,u,[1],"[""u""]",false,1832
4,o,[5],"[""ɔ""]",false,1686
18,k,[25],"[""k""]",false,1673
3,l,[4],"[""l""]",false,1483
13,h,[19],"[""h""]",false,1443
16,b,[22],"[""b""]",false,952
2,m,[3],"[""m""]",false,949
22,y,[32],"[""j""]",false,881
12,z,[16],"[""z""]",false,819
19,t,[27],"[""t'""]",true,807
17,w,[24],"[""w""]",false,730
6,s,[8],"[""s""]",false,728
14,d,[20],"[""d""]",false,700
8,p,[11],"[""p""]",false,249
21,v,[31],"[""v""]",false,200
20,f,[30],"[""f""]",false,169
15,q,[21],"[""k͡ǃ""]",false,148
10,j,[14],"[""ʄ""]",false,108
23,x,[34],"[""x""]",false,101
