id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
15,a,a,,false,VOWEL,1635
10,ɪ,I,,false,VOWEL,703
1,u,u,,false,VOWEL,680
4,l,l,,false,CONSONANT,572
2,uː,u:,,false,VOWEL,480
25,k,k,,false,CONSONANT,460
3,m,m,,false,CONSONANT,408
12,n,n,,false,CONSONANT,322
5,ɔ,O,,false,VOWEL,319
22,b,b,,false,CONSONANT,240
9,iː,i:,,false,VOWEL,220
7,ɛ,E,,false,VOWEL,175
16,z,z,,false,CONSONANT,100
8,s,S,,false,CONSONANT,78
27,t',t,,false,CONSONANT,45
26,kʰ,k_h,,false,CONSONANT,32
17,aː,a:,,false,VOWEL,24
18,pʰ,p_h,,false,CONSONANT,24
24,w,w,,false,CONSONANT,18
6,oː,o:,,false,VOWEL,14
33,tʰ,tʰ,,false,CONSONANT,6
23,mʱ,m_h\,,false,CONSONANT,4
32,j,j,,false,CONSONANT,3
11,p,p,,false,CONSONANT,3
31,v,v,,false,CONSONANT,3
34,x,kǁʼ,,false,CONSONANT,2
14,ʄ,j_<,,false,CONSONANT,2
29,b̥ʱ,bh,,false,CONSONANT,1
19,h,h,,false,CONSONANT,1
35,ʃ,ʃ,,false,,1
20,d,d,,false,CONSONANT,0
13,eː,e:,,false,VOWEL,0
30,f,f,,false,CONSONANT,0
21,k͡ǃ,k!\,,false,CONSONANT,0
28,ŋ,ng,,false,CONSONANT,0
