id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
9,ukuba,"[{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85},{""sounds"":[""k""],""id"":23,""letters"":[""k""],""usageCount"":92},{""sounds"":[""uː""],""id"":4,""letters"":[""u""],""usageCount"":80},{""sounds"":[""b""],""id"":20,""letters"":[""b""],""usageCount"":48},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109}]",40,VERB,PERFECT,,
10,kakhulu,"[{""sounds"":[""k""],""id"":23,""letters"":[""k""],""usageCount"":92},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""kʰ""],""id"":24,""letters"":[""k"",""h""],""usageCount"":32},{""sounds"":[""uː""],""id"":4,""letters"":[""u""],""usageCount"":80},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85}]",32,ADJECTIVE,,,
14,amaphiko,"[{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""pʰ""],""id"":17,""letters"":[""p"",""h""],""usageCount"":12},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""k""],""id"":23,""letters"":[""k""],""usageCount"":92},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29}]",12,NOUN,HIGHLY_PHONEMIC,,
16,esikolweni,"[{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25},{""sounds"":[""s""],""id"":8,""letters"":[""s""],""usageCount"":13},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""k""],""id"":23,""letters"":[""k""],""usageCount"":92},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""w""],""id"":22,""letters"":[""w""],""usageCount"":9},{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37}]",8,NOUN,PERFECT,11,isikolo
13,umntu,"[{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""t'""],""id"":25,""letters"":[""t""],""usageCount"":9},{""sounds"":[""uː""],""id"":4,""letters"":[""u""],""usageCount"":80}]",7,NOUN,HIGHLY_PHONEMIC,12,umtu
7,mhlobo,"[{""sounds"":[""mʱ""],""id"":21,""letters"":[""m"",""h""],""usageCount"":4},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""oː""],""id"":6,""letters"":[""o""],""usageCount"":7},{""sounds"":[""b""],""id"":20,""letters"":[""b""],""usageCount"":48},{""sounds"":[""ɔ""],""id"":5,""letters"":[""o""],""usageCount"":29}]",4,NOUN,PHONEMIC,,
17,abomvu,"[{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""b""],""id"":20,""letters"":[""b""],""usageCount"":48},{""sounds"":[""oː""],""id"":6,""letters"":[""o""],""usageCount"":7},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""v""],""id"":27,""letters"":[""v""],""usageCount"":3},{""sounds"":[""u""],""id"":1,""letters"":[""u""],""usageCount"":85}]",3,ADJECTIVE,PERFECT,,
4,amanzi,"[{""sounds"":[""a""],""id"":14,""letters"":[""a""],""usageCount"":109},{""sounds"":[""m""],""id"":2,""letters"":[""m""],""usageCount"":34},{""sounds"":[""aː""],""id"":16,""letters"":[""a""],""usageCount"":6},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""z""],""id"":15,""letters"":[""z""],""usageCount"":10},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37}]",3,NOUN,PERFECT,,
2,esipilini,"[{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25},{""sounds"":[""s""],""id"":8,""letters"":[""s""],""usageCount"":13},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""p""],""id"":11,""letters"":[""p""],""usageCount"":3},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37},{""sounds"":[""l""],""id"":3,""letters"":[""l""],""usageCount"":52},{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""ɪ""],""id"":9,""letters"":[""i""],""usageCount"":37}]",3,NOUN,PERFECT,,
18,inye,"[{""sounds"":[""iː""],""id"":10,""letters"":[""i""],""usageCount"":22},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":23},{""sounds"":[""j""],""id"":28,""letters"":[""y""],""usageCount"":3},{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":25}]",3,NUMBER,PERFECT,,
